location,date,depth_group,mean_chlorophyll_a,std_chlorophyll_a,measurement_count
SA,2017-10-12,Deep,0.4075757575757575,0.3850457704095,22
SA,2017-11-07,Surface,1.135,0.4233530179150466,10
SA,2017-11-07,Mid-Depth,1.99,0.1468937635768713,10
SA,2017-11-07,Lower Photic,1.956,0.2024406634602401,10
SA,2017-11-07,Deep,0.7192424242424242,0.6288706025314228,22
SA,2017-12-13,Surface,1.9070000000000005,0.3161592425766906,10
SA,2017-12-13,Mid-Depth,2.338,0.1919374898241612,10
SA,2017-12-13,Lower Photic,2.466,0.3052940294936087,10
SA,2017-12-13,Deep,2.3370454545454558,0.3159214003020865,22
SA,2018-01-11,Surface,8.752287026428798,8.382828193939687,10
SA,2018-01-11,Mid-Depth,6.28692750696432,0.8633807629609818,10
SA,2018-01-11,Lower Photic,5.654546299790479,0.2888736350926188,10
SA,2018-01-11,Deep,5.85072548993748,0.6697073809994655,22
SA,2018-02-07,Surface,7.878703237897696,7.471339515928267,10
SA,2018-02-07,Mid-Depth,4.271905410142258,0.749528605325381,10
SA,2018-02-07,Lower Photic,3.624603581135217,0.2721581423659083,10
SA,2018-02-07,Deep,2.909738618579068,0.2339553979174918,22
SA,2018-03-13,Surface,7.261936698745066,0.3213939932818729,10
SA,2018-03-13,Mid-Depth,8.920386000528863,0.5223764424089394,10
SA,2018-03-13,Lower Photic,9.448971286538251,1.6949284325573968,10
SA,2018-03-13,Deep,6.556422660535953,3.958405047896863,22
SA,2018-04-10,Surface,2.877489439674273,0.1503080764905132,10
SA,2018-04-10,Mid-Depth,2.419978705185602,0.2281246198132302,10
SA,2018-04-10,Lower Photic,1.9795940739743507,0.5984312175718832,10
SA,2018-04-10,Deep,0.6943583432047271,0.1448746708170563,22
SA,2018-05-15,Surface,1.9890922544297167,0.3144515560177885,10
SA,2018-05-15,Mid-Depth,2.5738895369815613,0.3226841377954535,10
SA,2018-05-15,Lower Photic,1.2544293160524185,0.3089029963309779,10
SA,2018-05-15,Deep,0.7334180042350227,0.237441602052927,22
SA,2018-06-12,Surface,2.328827108896434,0.0906351439562674,10
SA,2018-06-12,Mid-Depth,1.9928486213723555,0.3567307882069939,10
SA,2018-06-12,Lower Photic,1.1723648633948294,0.1396968624800879,10
SA,2018-06-12,Deep,0.6274383974911077,0.1114876225711415,22
SA,2018-07-17,Surface,2.513865501,0.2377672788046868,10
SA,2018-07-17,Mid-Depth,2.947426491,0.1259454198008671,10
SA,2018-07-17,Lower Photic,5.012698192999999,3.152529465378545,10
SA,2018-07-17,Deep,1.1983978314335724,1.0355916206078235,22
SA,2018-08-14,Surface,1.5292082565553833,0.3883334797424119,10
SA,2018-08-14,Mid-Depth,2.125499455049102,0.1349844859960808,10
SA,2018-08-14,Lower Photic,1.90585239885023,0.0787930667483729,10
SA,2018-08-14,Deep,0.8389446794611625,0.3350651542056196,22
SA,2018-09-11,Surface,2.15439224240905,0.0962897754843244,10
SA,2018-09-11,Mid-Depth,2.68106496836621,0.3527267442321944,10
SA,2018-09-11,Lower Photic,1.9045275989657129,0.2445920894302772,10
SA,2018-09-11,Deep,0.913369319461593,0.3707046395039326,22
SA,2018-09-24,Surface,1.949981528948277,0.3763107555293079,10
SA,2018-09-24,Mid-Depth,1.364167616595907,0.1135735584072809,10
SA,2018-09-24,Lower Photic,0.9607974684821118,0.1523204722514858,10
SA,2018-09-24,Deep,0.5628220465129435,0.0827856381517515,22
SA,2018-11-14,Surface,2.714807095129829,0.7853654930320395,10
SA,2018-11-14,Mid-Depth,3.2430496042905235,0.2054994602245445,10
SA,2018-11-14,Lower Photic,2.6108436754580127,0.1381997330483937,10
SA,2018-11-14,Deep,0.9615655589530828,0.628269532888298,22
SA,2018-12-12,Surface,1.810013346883298,0.4573400785379994,10
SA,2018-12-12,Mid-Depth,2.122052677596734,0.0968569838877317,10
SA,2018-12-12,Lower Photic,2.115221570587407,0.0871513264070989,10
SA,2018-12-12,Deep,1.5290469791579684,0.4234987991391893,22
SA,2019-02-12,Surface,5.687332725419779,6.920353091104379,10
SA,2019-02-12,Mid-Depth,3.41828417426224,0.3015171865683627,10
SA,2019-02-12,Lower Photic,3.250231343030658,0.1780554198907178,10
SA,2019-02-12,Deep,4.25795722831614,2.1038287283724166,22
SA,2019-03-12,Surface,7.814047928189458,5.290306043316015,10
SA,2019-03-12,Mid-Depth,3.103211173818074,0.5742382201165499,10
SA,2019-03-12,Lower Photic,3.396465523702181,0.685280831154922,10
SA,2019-03-12,Deep,1.2296696738526092,0.2949920903712379,22
SA,2019-04-09,Surface,3.3418016170557943,0.897516603625337,10
SA,2019-04-09,Mid-Depth,2.568784146999403,0.3673893709374797,10
SA,2019-04-09,Lower Photic,2.192880137513177,0.1874821863385626,10
SA,2019-04-09,Deep,1.171822021140384,0.2895762388303959,22
SA,2019-05-14,Surface,1.760399615041472,0.1886366471627663,10
SA,2019-05-14,Mid-Depth,1.527548072213902,0.2081417076951501,10
SA,2019-05-14,Lower Photic,0.7987877327958229,0.1364594528980046,10
SA,2019-05-14,Deep,0.5516138286157649,0.058082182971383,22
SA,2019-06-12,Surface,1.336600741557334,0.2309988013585629,10
SA,2019-06-12,Mid-Depth,1.5918136835032333,0.0885542067862877,10
SA,2019-06-12,Lower Photic,0.901733854831698,0.1571471079592463,10
SA,2019-06-12,Deep,0.571227630306109,0.09045509451917,22
SA,2019-07-12,Surface,2.348391235403748,0.0482741495660515,10
SA,2019-07-12,Mid-Depth,2.044121051714108,0.193996614132865,10
SA,2019-07-12,Lower Photic,1.351413540580777,0.2069549576158171,10
SA,2019-07-12,Deep,0.6365003158442072,0.1260147634968436,22
SA,2019-08-13,Surface,1.3008741274172562,0.0169797247731565,10
SA,2019-08-13,Mid-Depth,1.7216089930632752,0.2052472058757319,10
SA,2019-08-13,Lower Photic,1.559891191256447,0.3286662402670089,10
SA,2019-08-13,Deep,0.6547868611378724,0.1133580998677919,22
SA,2019-09-10,Surface,1.7070135208590158,0.5943944185720492,10
SA,2019-09-10,Mid-Depth,7.41476237350075,9.608683821773129,10
SA,2019-09-10,Lower Photic,3.4927395543334647,1.6527938907850692,10
SA,2019-09-10,Deep,0.882943111092785,0.2803034579472862,22
SA,2020-02-11,Surface,6.817775079328735,8.783577165414783,10
SA,2020-02-11,Mid-Depth,7.55487497263901,1.2933925279342091,10
SA,2020-02-11,Lower Photic,8.09222813634279,0.7668540005163211,10
SA,2020-02-11,Deep,4.394187553268791,1.572087573150951,22
SA,2020-05-12,Surface,2.074522138005202,0.3567305472192936,10
SA,2020-05-12,Mid-Depth,3.101882836301979,0.1635986435541197,10
SA,2020-05-12,Lower Photic,1.601384045821887,0.6469580071413384,10
SA,2020-05-12,Deep,0.7923798939287732,0.1828537108838792,22
SA,2020-06-09,Surface,2.768513302142617,1.1677722379968842,10
SA,2020-06-09,Mid-Depth,4.199933338571873,0.2695646529577972,10
SA,2020-06-09,Lower Photic,2.6050905649092817,1.414640280618943,10
SA,2020-06-09,Deep,0.7501230646839715,0.1569948937814762,22
SA,2020-07-14,Surface,3.360208299000825,0.4750771848015566,10
SA,2020-07-14,Mid-Depth,3.603102310693687,0.1838311962162475,10
SA,2020-07-14,Lower Photic,1.847180620793872,0.6793662820214261,10
SA,2020-07-14,Deep,0.7381805244747085,0.1564320382291268,22
SA,2020-08-11,Surface,1.674829307558095,0.0260933937798517,10
SA,2020-08-11,Mid-Depth,1.808171173661892,0.1601078337717892,10
SA,2020-08-11,Lower Photic,1.545355992271591,0.6150629043831072,10
SA,2020-08-11,Deep,0.7064158537538755,0.1093834870662996,22
SA,2020-09-08,Surface,1.482193203806359,0.1083305908080898,10
SA,2020-09-08,Mid-Depth,1.5365379643078168,0.1141904141673303,10
SA,2020-09-08,Lower Photic,0.9193694084167124,0.1743783386075866,10
SA,2020-09-08,Deep,0.5553959604987919,0.0509747707555078,22
SA,2020-10-13,Surface,1.362731184728692,0.2496663335394289,10
SA,2020-10-13,Mid-Depth,2.607952943381316,0.4328798954900905,10
SA,2020-10-13,Lower Photic,1.7623666314882371,0.4934262931280949,10
SA,2020-10-13,Deep,0.6594332020494404,0.1211915802702785,22
SA,2020-11-10,Surface,9.514661014562336,0.6495820583690224,10
SA,2020-11-10,Mid-Depth,5.791107587921809,0.8285267901146528,10
SA,2020-11-10,Lower Photic,4.302832840833316,0.9501765627605836,10
SA,2020-11-10,Deep,3.1408650647999816,5.021827412781507,22
SA,2020-12-08,Surface,2.346159692855997,0.0933976597928532,10
SA,2020-12-08,Mid-Depth,2.399402710430792,0.1560720254594968,10
SA,2020-12-08,Lower Photic,2.510686707117799,0.1125326379743664,10
SA,2020-12-08,Deep,1.7375478275409242,0.7348441972440667,22
SA,2021-01-19,Surface,2.6840776073798533,0.886241684424324,10
SA,2021-01-19,Mid-Depth,3.777258195061256,0.3010059528854471,10
SA,2021-01-19,Lower Photic,3.81723443849071,0.2414435414893134,10
SA,2021-01-19,Deep,3.8107329062011335,0.1174301787708121,22
SA,2021-02-16,Surface,3.379432068765972,0.910629983277561,10
SA,2021-02-16,Mid-Depth,3.86528773116857,0.30157434108403,10
SA,2021-02-16,Lower Photic,2.582290988017096,0.3367368405227349,10
SA,2021-02-16,Deep,1.6826779479707938,0.4997106902549679,22
SA,2021-03-16,Surface,3.135489515498881,0.19190385933312,10
SA,2021-03-16,Mid-Depth,2.244651224234037,0.3173030179424891,10
SA,2021-03-16,Lower Photic,1.611949442733979,0.1419410010076751,10
SA,2021-03-16,Deep,1.1490912106638291,0.173708296509785,22
SA,2021-04-13,Surface,3.14644322644776,0.8098358939987778,10
SA,2021-04-13,Mid-Depth,3.1682203028508065,0.5475062707466022,10
SA,2021-04-13,Lower Photic,2.009615692161278,0.1803367629576386,10
SA,2021-04-13,Deep,1.4736409840268263,0.1743989499983746,22
SA,2021-05-11,Surface,1.4306587364361367,0.4100602031460576,10
SA,2021-05-11,Mid-Depth,2.838991367649506,0.5332376966473609,10
SA,2021-05-11,Lower Photic,1.242262779172972,0.1835629013515412,10
SA,2021-05-11,Deep,0.8553736424131034,0.1838609219319527,22
SA,2021-06-08,Surface,1.4064873979136563,0.3382745352837247,10
SA,2021-06-08,Mid-Depth,1.646038253879825,0.1899817824044185,10
SA,2021-06-08,Lower Photic,1.0445253021918233,0.2201941050871737,10
SA,2021-06-08,Deep,0.6542416872931283,0.085590348694285,22
SA,2021-07-13,Surface,1.979374414218464,0.064825354420112,10
SA,2021-07-13,Mid-Depth,2.15144023178227,0.1923714939405731,10
SA,2021-07-13,Lower Photic,1.811226891253419,0.5365112235858154,10
SA,2021-07-13,Deep,0.8171279017529915,0.1482962373471736,22
SA,2021-08-10,Surface,1.1373086230110685,0.4060616858888617,10
SA,2021-08-10,Mid-Depth,1.8477183907898271,0.1295049134363281,10
SA,2021-08-10,Lower Photic,1.5364102130384332,0.3554091116381483,10
SA,2021-08-10,Deep,0.7960928806108829,0.1448231746616058,22
SA,2021-09-07,Surface,1.6937075799950114,0.7761581382547474,10
SA,2021-09-07,Mid-Depth,2.9706514245300566,0.3235487983921971,10
SA,2021-09-07,Lower Photic,1.9642999607810665,0.2879664979914386,10
SA,2021-09-07,Deep,0.8029104902900793,0.2495153578371138,22
SA,2021-10-12,Surface,2.2831870613484093,0.7540953909383398,10
SA,2021-10-12,Mid-Depth,3.435739649174888,0.162737093166551,10
SA,2021-10-12,Lower Photic,3.033711633551812,0.4265558322826676,10
SA,2021-10-12,Deep,1.005565281935492,0.3092238641547,22
SA,2021-11-09,Surface,6.724386148914741,7.163337556890997,10
SA,2021-11-09,Mid-Depth,6.922864117636583,0.3395839663516315,10
SA,2021-11-09,Lower Photic,7.576431292041479,0.7087798977672332,10
SA,2021-11-09,Deep,1.781399917308913,2.0877103781828827,22
SA,2021-12-07,Surface,2.641214477956673,0.9167031824393408,10
SA,2021-12-07,Mid-Depth,9.911594147264548,6.675983783523737,10
SA,2021-12-07,Lower Photic,10.512919168230578,0.6681130586502383,10
SA,2021-12-07,Deep,10.562075618471551,2.1249210620111,22
SA,2022-01-18,Surface,2.2163984570731463,0.8482297919438432,10
SA,2022-01-18,Mid-Depth,3.138322615816378,0.2876594618487733,10
SA,2022-01-18,Lower Photic,1.7963386969273931,0.271701054111613,10
SA,2022-01-18,Deep,1.1237837981434673,0.202595541961997,22
SA,2022-02-08,Surface,2.453386320778011,0.8811766865393902,10
SA,2022-02-08,Mid-Depth,3.314302604154453,0.1814439758748473,10
SA,2022-02-08,Lower Photic,3.239614030849335,0.1916971659065041,10
SA,2022-02-08,Deep,5.486336593476789,5.356670654966054,22
SA,2022-03-08,Surface,2.6162426965416765,0.9838624894134556,10
SA,2022-03-08,Mid-Depth,1.5452258786716278,0.3173877109409357,10
SA,2022-03-08,Lower Photic,0.9617299746672392,0.1170713478705984,10
SA,2022-03-08,Deep,0.6854367042037385,0.1214570457723559,22
SA,2022-04-05,Surface,2.121317361000498,0.5560941249578449,10
SA,2022-04-05,Mid-Depth,3.374976476268614,0.6550806545897724,10
SA,2022-04-05,Lower Photic,3.016243492385115,0.8050390718411669,10
SA,2022-04-05,Deep,1.2005827586212112,0.3110458077352962,22
SA,2022-05-10,Surface,1.6944912085333192,0.4026419361997285,10
SA,2022-05-10,Mid-Depth,1.9768739645495144,0.1662689927923087,10
SA,2022-05-10,Lower Photic,1.23525769201575,0.1628207824970222,10
SA,2022-05-10,Deep,0.7760748881748835,0.1536023591869965,22
SA,2022-06-14,Surface,1.905614482951934,0.1208754013025455,10
SA,2022-06-14,Mid-Depth,2.278477970304554,0.35749488218731,10
SA,2022-06-14,Lower Photic,1.6857007868516607,0.5611905957970206,10
SA,2022-06-14,Deep,0.7053515291199955,0.1515863701319256,22
SA,2022-07-12,Surface,1.6120014293767828,0.3123677324925441,10
SA,2022-07-12,Mid-Depth,1.7210961575625077,0.0860349660378614,10
SA,2022-07-12,Lower Photic,1.3238522372597992,0.1347813206128006,10
SA,2022-07-12,Deep,0.7556088969290582,0.1456947848880046,22
SA,2022-08-09,Surface,1.895803955199936,0.3167338712071623,10
SA,2022-08-09,Mid-Depth,2.341983318756034,0.1532536931415422,10
SA,2022-08-09,Lower Photic,1.9444940429471007,0.3039874956121073,10
SA,2022-08-09,Deep,0.8056821583423536,0.3002716567502801,22
SA,2022-09-06,Surface,1.7484837194527705,0.4926070770500102,10
SA,2022-09-06,Mid-Depth,2.39621966478001,0.1547759720900903,10
SA,2022-09-06,Lower Photic,1.68256562558602,0.1784654537427872,10
SA,2022-09-06,Deep,0.8759825709596616,0.3110451044966048,22
SA,2022-10-18,Surface,2.969971890203756,1.132396118579127,10
SA,2022-10-18,Mid-Depth,3.222131053960535,0.5671235388438858,10
SA,2022-10-18,Lower Photic,2.4105471362593667,0.2123266816640784,10
SA,2022-10-18,Deep,0.9360959267012132,0.3712242260050608,22
SA,2022-11-08,Surface,2.414392746325345,0.7168480752013242,10
SA,2022-11-08,Mid-Depth,2.4535756107629467,0.4004056922572682,10
SA,2022-11-08,Lower Photic,1.246891412580723,0.2276639798489907,10
SA,2022-11-08,Deep,0.7893843701777944,0.2560326944314378,22
SA,2022-12-06,Surface,1.9539234963213872,0.6213398157119481,10
SA,2022-12-06,Mid-Depth,2.529173662209488,0.1000732317031525,10
SA,2022-12-06,Lower Photic,2.484127328541512,0.1698515971053608,10
SA,2022-12-06,Deep,2.147610476868824,0.3526191292334578,22
SA,2023-01-17,Surface,2.404316625794236,0.4546891232316619,10
SA,2023-01-17,Mid-Depth,2.718232118092353,0.080577908834027,10
SA,2023-01-17,Lower Photic,2.31220518896788,0.1710516359164207,10
SA,2023-01-17,Deep,1.9752669154085651,0.1510972278507173,22
SA,2023-02-14,Surface,2.3199062616006096,0.8515004363891087,10
SA,2023-02-14,Mid-Depth,6.854829328716238,6.534604964384501,10
SA,2023-02-14,Lower Photic,3.7852874642242407,0.9433415175736892,10
SA,2023-02-14,Deep,3.5863131218412407,0.272849309602073,22
SA,2023-03-14,Surface,4.790844511402035,5.8206331778175855,10
SA,2023-03-14,Mid-Depth,4.406903492829568,3.646817224342881,10
SA,2023-03-14,Lower Photic,5.662119385307709,7.598218800201688,10
SA,2023-03-14,Deep,1.8176542366738693,0.3674617456897733,22
SA,2023-04-11,Surface,1.948239141152633,0.645504680704302,10
SA,2023-04-11,Mid-Depth,2.445948941068547,0.1311067867020381,10
SA,2023-04-11,Lower Photic,2.1924950489307,0.2214806146043945,10
SA,2023-04-11,Deep,0.9289392415448386,0.3590896360469799,22
SA,2023-05-09,Surface,1.287146305094742,0.5068557290672944,10
SA,2023-05-09,Mid-Depth,2.183762396904632,0.1494781356318153,10
SA,2023-05-09,Lower Photic,2.0104486452127426,0.427164589474507,10
SA,2023-05-09,Deep,0.8991603702980665,0.2184283117917367,22
SA,2023-06-13,Surface,1.6197320589932969,0.5086940753276197,10
