location,date,depth_group,value_chlorophyll_a,measurement_count_chlorophyll_a,value_ph,measurement_count_ph
SA,2015-07-14,Lower Photic,1.437,10,8.641,10
SA,2015-07-14,Deep,0.7236363636363637,22,8.062424242424242,22
SA,2015-08-10,Surface,1.357,10,8.817000000000002,10
SA,2015-08-10,Mid-Depth,1.645,10,8.819999999999999,10
SA,2015-08-10,Lower Photic,1.19,10,8.678999999999998,10
SA,2015-08-10,Deep,0.730378787878788,22,8.204166666666666,22
SA,2015-09-09,Surface,1.594,10,8.969999999999999,10
SA,2015-09-09,Mid-Depth,2.521,10,8.675999999999998,10
SA,2015-09-09,Lower Photic,2.26,10,8.338000000000001,10
SA,2015-09-09,Deep,0.6046969696969697,22,7.86159090909091,22
SA,2015-10-06,Surface,1.836,10,8.957000000000003,10
SA,2015-10-06,Mid-Depth,2.045,10,8.867,10
SA,2015-10-06,Lower Photic,1.287,10,8.464,10
SA,2015-10-06,Deep,0.4741666666666667,22,8.008712121212122,22
SA,2015-11-11,Surface,2.4915392856423737,10,8.906,10
SA,2015-11-11,Mid-Depth,3.0906202603698234,10,8.842999999999998,10
SA,2015-11-11,Lower Photic,2.576048265567105,10,8.625,10
SA,2015-11-11,Deep,1.4276198709673351,22,7.890293943110866,22
SA,2016-01-19,Surface,1.8560000000000003,10,7.980999999999999,10
SA,2016-01-19,Mid-Depth,2.124,10,7.891,10
SA,2016-01-19,Lower Photic,2.3470000000000004,10,7.770999999999999,10
SA,2016-01-19,Deep,1.6234848484848483,22,7.559772727272726,22
SA,2016-02-16,Surface,3.079947655254644,10,8.143,10
SA,2016-02-16,Mid-Depth,2.7880000000000003,10,8.11,10
SA,2016-02-16,Lower Photic,2.4855,10,8.048,10
SA,2016-02-16,Deep,2.308181818181818,22,8.067121212121211,22
SA,2016-03-01,Surface,3.553,10,8.652,10
SA,2016-03-01,Mid-Depth,3.173,10,8.559999999999999,10
SA,2016-03-01,Lower Photic,1.972,10,8.495000000000001,10
SA,2016-03-01,Deep,1.4427272727272726,22,8.483030303030302,22
SA,2016-04-12,Surface,1.759,10,8.64,10
SA,2016-04-12,Mid-Depth,2.3070000000000004,10,8.553,10
SA,2016-04-12,Lower Photic,1.235,10,8.273,10
SA,2016-04-12,Deep,0.3359090909090909,22,8.24159090909091,22
SA,2016-05-17,Surface,0.7969999999999999,10,8.4,10
SA,2016-05-17,Mid-Depth,1.243,10,8.364,10
SA,2016-05-17,Lower Photic,0.759,10,7.929,10
SA,2016-05-17,Deep,0.2252272727272727,22,7.803030303030303,22
SA,2016-06-14,Surface,0.479,10,8.747,10
SA,2016-06-14,Mid-Depth,1.038,10,8.624,10
SA,2016-06-14,Lower Photic,0.996,10,8.241,10
SA,2016-06-14,Deep,0.3159848484848485,22,7.858712121212122,22
SA,2016-07-12,Surface,0.8859999999999999,10,8.743,10
SA,2016-07-12,Mid-Depth,1.249,10,8.716000000000001,10
SA,2016-07-12,Lower Photic,0.963,10,8.482000000000001,10
SA,2016-07-12,Deep,0.3241666666666666,22,8.04651515151515,22
SA,2016-08-09,Surface,0.792,10,8.651000000000002,10
SA,2016-08-09,Mid-Depth,1.28,10,8.604999999999999,10
SA,2016-08-09,Lower Photic,1.539,10,8.393,10
SA,2016-08-09,Deep,0.6162121212121213,22,7.919469696969698,22
SA,2016-09-06,Surface,0.497,10,9.91,10
SA,2016-09-06,Mid-Depth,0.8400000000000001,10,9.873,10
SA,2016-09-06,Lower Photic,0.844,10,9.693,10
SA,2016-09-06,Deep,0.3584848484848484,22,9.183939393939394,22
SA,2016-10-11,Surface,0.639,10,8.922,10
SA,2016-10-11,Mid-Depth,1.5379999999999998,10,8.864999999999998,10
SA,2016-10-11,Lower Photic,1.835,10,8.818999999999999,10
SA,2016-10-11,Deep,0.5908143719339326,22,8.157704831629365,22
SA,2016-11-08,Surface,1.47,10,9.003,10
SA,2016-11-08,Mid-Depth,1.8040000000000005,10,8.992999999999999,10
SA,2016-11-08,Lower Photic,2.2,10,8.881,10
SA,2016-11-08,Deep,1.2381060606060603,22,8.39401515151515,22
SA,2016-12-05,Surface,1.3119999999999998,10,8.446000000000002,10
SA,2016-12-05,Mid-Depth,1.611,10,8.373000000000001,10
SA,2016-12-05,Lower Photic,1.0710000000000002,10,8.267,10
SA,2016-12-05,Deep,0.7399242424242426,22,8.110530303030302,22
SA,2017-02-07,Surface,1.383,10,8.514000000000001,10
SA,2017-02-07,Mid-Depth,1.5060000000000002,10,8.441999999999998,10
SA,2017-02-07,Lower Photic,1.5100000000000002,10,8.409,10
SA,2017-02-07,Deep,1.2718939393939397,22,8.398787878787878,22
SA,2017-03-13,Surface,1.843,10,8.084,10
SA,2017-03-13,Mid-Depth,1.626,10,8.088,10
SA,2017-03-13,Lower Photic,1.225,10,8.056999999999999,10
SA,2017-03-13,Deep,0.6609090909090909,22,7.98090909090909,22
SA,2017-04-18,Surface,0.859,10,8.206999999999999,10
SA,2017-04-18,Mid-Depth,1.117,10,8.247,10
SA,2017-04-18,Lower Photic,0.961,10,8.186,10
SA,2017-04-18,Deep,0.5663636363636363,22,7.957348484848485,22
SA,2017-05-16,Surface,0.729,10,8.174,10
SA,2017-05-16,Mid-Depth,0.902,10,8.114,10
SA,2017-05-16,Lower Photic,0.639,10,7.939,10
SA,2017-05-16,Deep,0.3054545454545455,22,7.767803030303028,22
SA,2017-06-13,Surface,1.3770000000000002,10,9.528000000000002,10
SA,2017-06-13,Mid-Depth,1.495,10,9.452,10
SA,2017-06-13,Lower Photic,0.8219999999999998,10,9.192,10
SA,2017-06-13,Deep,0.3203787878787879,22,9.026818181818182,22
SA,2017-07-11,Surface,0.777,10,8.205000000000002,10
SA,2017-07-11,Mid-Depth,1.039,10,8.149999999999999,10
SA,2017-07-11,Lower Photic,1.06,10,7.948,10
SA,2017-07-11,Deep,0.2907575757575757,22,7.730151515151514,22
SA,2017-08-08,Surface,1.068,10,9.098,10
SA,2017-08-08,Mid-Depth,1.171,10,9.050999999999998,10
SA,2017-08-08,Lower Photic,0.842,10,8.75,10
SA,2017-08-08,Deep,0.2776515151515152,22,8.427121212121213,22
SA,2017-09-12,Surface,1.312,10,10.341,10
SA,2017-09-12,Mid-Depth,1.121,10,10.358,10
SA,2017-09-12,Lower Photic,0.85,10,10.023,10
SA,2017-09-12,Deep,0.2089393939393939,22,9.413030303030302,22
SA,2017-10-12,Surface,0.596,10,9.143,10
SA,2017-10-12,Mid-Depth,1.18,10,9.157,10
SA,2017-10-12,Lower Photic,1.504,10,9.042,10
SA,2017-10-12,Deep,0.4075757575757575,22,8.085833333333333,22
SA,2017-11-07,Surface,1.135,10,8.918,10
SA,2017-11-07,Mid-Depth,1.99,10,8.849,10
SA,2017-11-07,Lower Photic,1.956,10,8.600999999999999,10
SA,2017-11-07,Deep,0.7192424242424242,22,7.86181818181818,22
SA,2017-12-13,Surface,1.9070000000000005,10,8.52,10
SA,2017-12-13,Mid-Depth,2.338,10,8.547,10
SA,2017-12-13,Lower Photic,2.466,10,8.495000000000001,10
SA,2017-12-13,Deep,2.337045454545456,22,8.367121212121212,22
SA,2018-01-11,Surface,8.752287026428798,10,9.370496045700428,10
SA,2018-01-11,Mid-Depth,6.28692750696432,10,9.318117706603932,10
SA,2018-01-11,Lower Photic,5.654546299790479,10,9.288681834139968,10
SA,2018-01-11,Deep,5.85072548993748,22,9.220462929248448,22
SA,2018-02-07,Surface,7.878703237897696,10,8.891050279925881,10
SA,2018-02-07,Mid-Depth,4.271905410142258,10,8.794570680776163,10
SA,2018-02-07,Lower Photic,3.624603581135217,10,8.808821776085846,10
SA,2018-02-07,Deep,2.909738618579068,22,8.719200621442546,22
SA,2018-03-13,Surface,7.261936698745066,10,8.921379204217654,10
SA,2018-03-13,Mid-Depth,8.920386000528863,10,8.779500108991439,10
SA,2018-03-13,Lower Photic,9.448971286538251,10,8.659646438533736,10
SA,2018-03-13,Deep,6.556422660535953,22,8.398874439808028,22
SA,2018-04-10,Surface,2.877489439674273,10,8.775691837871722,10
SA,2018-04-10,Mid-Depth,2.419978705185602,10,8.640576691963883,10
SA,2018-04-10,Lower Photic,1.9795940739743507,10,8.298800437755183,10
SA,2018-04-10,Deep,0.6943583432047271,22,8.112837313427859,22
SA,2018-05-15,Surface,1.9890922544297167,10,8.840345333333152,10
SA,2018-05-15,Mid-Depth,2.5738895369815613,10,8.517717463335956,10
SA,2018-05-15,Lower Photic,1.2544293160524185,10,8.002166700168837,10
SA,2018-05-15,Deep,0.7334180042350227,22,7.936285110960304,22
SA,2018-06-12,Surface,2.328827108896434,10,8.91840521577439,10
SA,2018-06-12,Mid-Depth,1.9928486213723555,10,8.852357987897685,10
SA,2018-06-12,Lower Photic,1.1723648633948294,10,8.225453284911206,10
SA,2018-06-12,Deep,0.6274383974911077,22,7.945360313298534,22
SA,2018-07-17,Surface,2.513865501,10,8.880654588999999,10
SA,2018-07-17,Mid-Depth,2.947426491,10,8.863271948,10
SA,2018-07-17,Lower Photic,5.012698192999999,10,8.759926899,10
SA,2018-07-17,Deep,1.1983978314335724,22,7.9965853439214705,22
SA,2018-08-14,Surface,1.5292082565553833,10,8.92038111455692,10
SA,2018-08-14,Mid-Depth,2.125499455049102,10,8.844966254815592,10
SA,2018-08-14,Lower Photic,1.90585239885023,10,8.608454635697694,10
SA,2018-08-14,Deep,0.8389446794611625,22,8.049588217364281,22
SA,2018-09-11,Surface,2.15439224240905,10,8.838192569059117,10
SA,2018-09-11,Mid-Depth,2.68106496836621,10,8.688811521561863,10
SA,2018-09-11,Lower Photic,1.9045275989657129,10,8.185289126242427,10
SA,2018-09-11,Deep,0.913369319461593,22,7.821106937115162,22
SA,2018-09-24,Surface,1.949981528948277,10,9.02141289103906,10
SA,2018-09-24,Mid-Depth,1.364167616595907,10,8.919309991820452,10
SA,2018-09-24,Lower Photic,0.9607974684821118,10,8.304270154516896,10
SA,2018-09-24,Deep,0.5628220465129435,22,7.766714092746718,22
SA,2018-11-14,Surface,2.714807095129829,10,8.852648259627511,10
SA,2018-11-14,Mid-Depth,3.2430496042905235,10,8.790706804300843,10
SA,2018-11-14,Lower Photic,2.6108436754580127,10,8.725811512873936,10
SA,2018-11-14,Deep,0.9615655589530828,22,7.912838746289986,22
SA,2018-12-12,Surface,1.810013346883298,10,8.676075215531942,10
SA,2018-12-12,Mid-Depth,2.122052677596734,10,8.615440249407254,10
SA,2018-12-12,Lower Photic,2.115221570587407,10,8.599289191534112,10
SA,2018-12-12,Deep,1.5290469791579684,22,8.46777111563057,22
SA,2019-02-12,Surface,5.687332725419779,10,8.497697246313018,10
SA,2019-02-12,Mid-Depth,3.41828417426224,10,8.339603536175858,10
SA,2019-02-12,Lower Photic,3.250231343030658,10,8.242238519389108,10
SA,2019-02-12,Deep,4.25795722831614,22,8.186175639011905,22
SA,2019-03-12,Surface,7.814047928189458,10,8.708772872139386,10
SA,2019-03-12,Mid-Depth,3.103211173818074,10,8.593959602557291,10
SA,2019-03-12,Lower Photic,3.396465523702181,10,8.269856682906076,10
SA,2019-03-12,Deep,1.2296696738526092,22,8.073915780625926,22
SA,2019-04-09,Surface,3.3418016170557943,10,8.75340654469063,10
SA,2019-04-09,Mid-Depth,2.568784146999403,10,8.392549714649395,10
SA,2019-04-09,Lower Photic,2.192880137513177,10,8.065357496298699,10
SA,2019-04-09,Deep,1.171822021140384,22,7.619377198728706,22
SA,2019-05-14,Surface,1.760399615041472,10,8.716161317920578,10
SA,2019-05-14,Mid-Depth,1.527548072213902,10,8.62755968920068,10
SA,2019-05-14,Lower Photic,0.7987877327958229,10,8.110585970494906,10
SA,2019-05-14,Deep,0.5516138286157649,22,7.821089163971652,22
SA,2019-06-12,Surface,1.336600741557334,10,8.811402970470397,10
SA,2019-06-12,Mid-Depth,1.5918136835032333,10,8.655031155333129,10
SA,2019-06-12,Lower Photic,0.901733854831698,10,8.019252729276438,10
SA,2019-06-12,Deep,0.571227630306109,22,7.746593821711352,22
SA,2019-07-12,Surface,2.348391235403748,10,8.783167602581928,10
SA,2019-07-12,Mid-Depth,2.044121051714108,10,8.52246658168685,10
SA,2019-07-12,Lower Photic,1.351413540580777,10,7.976717050978488,10
SA,2019-07-12,Deep,0.6365003158442072,22,7.503307276393602,22
SA,2019-08-13,Surface,1.3008741274172562,10,8.807352946033737,10
SA,2019-08-13,Mid-Depth,1.7216089930632752,10,8.372629711910635,10
SA,2019-08-13,Lower Photic,1.559891191256447,10,7.8774683659772124,10
SA,2019-08-13,Deep,0.6547868611378724,22,7.1446744764502,22
SA,2019-09-10,Surface,1.7070135208590158,10,8.903791597257257,10
SA,2019-09-10,Mid-Depth,7.41476237350075,10,8.817169345994515,10
SA,2019-09-10,Lower Photic,3.4927395543334647,10,8.507401135709161,10
SA,2019-09-10,Deep,0.882943111092785,22,7.7957832785920145,22
SA,2020-02-11,Surface,6.817775079328735,10,8.71440303178033,10
SA,2020-02-11,Mid-Depth,7.55487497263901,10,8.52407397771357,10
SA,2020-02-11,Lower Photic,8.09222813634279,10,8.327680282359578,10
SA,2020-02-11,Deep,4.394187553268791,22,8.079211865088844,22
SA,2020-05-12,Surface,2.074522138005202,10,8.711675063940195,10
SA,2020-05-12,Mid-Depth,3.101882836301979,10,8.383974347302678,10
SA,2020-05-12,Lower Photic,1.601384045821887,10,7.7724100204737,10
SA,2020-05-12,Deep,0.7923798939287732,22,7.300672442745069,22
SA,2020-06-09,Surface,2.768513302142617,10,8.626713764802945,10
SA,2020-06-09,Mid-Depth,4.199933338571873,10,8.21346056101726,10
SA,2020-06-09,Lower Photic,2.6050905649092817,10,7.700576955467073,10
SA,2020-06-09,Deep,0.7501230646839715,22,7.154176085024995,22
SA,2020-07-14,Surface,3.360208299000825,10,8.605098355901228,10
SA,2020-07-14,Mid-Depth,3.603102310693687,10,7.866086690034807,10
SA,2020-07-14,Lower Photic,1.847180620793872,10,7.164699306723898,10
SA,2020-07-14,Deep,0.7381805244747085,22,6.4797759669039285,22
SA,2020-08-11,Surface,1.674829307558095,10,8.69748709451255,10
SA,2020-08-11,Mid-Depth,1.808171173661892,10,8.347161507270508,10
SA,2020-08-11,Lower Photic,1.545355992271591,10,7.748027104810413,10
SA,2020-08-11,Deep,0.7064158537538755,22,6.981227903224448,22
SA,2020-09-08,Surface,1.482193203806359,10,8.616837644628717,10
SA,2020-09-08,Mid-Depth,1.5365379643078168,10,8.427501418435755,10
SA,2020-09-08,Lower Photic,0.9193694084167124,10,7.952292236419207,10
SA,2020-09-08,Deep,0.5553959604987919,22,7.178490029670394,22
SA,2020-10-13,Surface,1.362731184728692,10,8.632666991678317,10
SA,2020-10-13,Mid-Depth,2.607952943381316,10,7.966294387019092,10
SA,2020-10-13,Lower Photic,1.7623666314882371,10,7.606617912186901,10
SA,2020-10-13,Deep,0.6594332020494404,22,6.755970982421244,22
SA,2020-11-10,Surface,9.514661014562336,10,8.45665415137645,10
SA,2020-11-10,Mid-Depth,5.791107587921809,10,7.990055198842688,10
SA,2020-11-10,Lower Photic,4.302832840833316,10,7.743321887740012,10
SA,2020-11-10,Deep,3.1408650647999816,22,6.997399778976487,22
SA,2020-12-08,Surface,2.346159692855997,10,8.14912562335805,10
SA,2020-12-08,Mid-Depth,2.399402710430792,10,7.968435266145919,10
SA,2020-12-08,Lower Photic,2.510686707117799,10,7.882296218648578,10
SA,2020-12-08,Deep,1.7375478275409242,22,7.611545059139501,22
SA,2021-01-19,Surface,2.6840776073798533,10,8.10216182166771,10
SA,2021-01-19,Mid-Depth,3.777258195061256,10,7.939919003233223,10
SA,2021-01-19,Lower Photic,3.81723443849071,10,7.790979522307735,10
SA,2021-01-19,Deep,3.8107329062011335,22,7.601533319941902,22
SA,2021-02-16,Surface,3.379432068765972,10,8.412557159105255,10
SA,2021-02-16,Mid-Depth,3.86528773116857,10,8.152206463081082,10
SA,2021-02-16,Lower Photic,2.582290988017096,10,7.991451356988105,10
SA,2021-02-16,Deep,1.6826779479707938,22,7.813735599496027,22
SA,2021-03-16,Surface,3.135489515498881,10,8.617984164464692,10
SA,2021-03-16,Mid-Depth,2.244651224234037,10,8.41657826594078,10
SA,2021-03-16,Lower Photic,1.611949442733979,10,7.97985216959203,10
SA,2021-03-16,Deep,1.1490912106638291,22,7.800332578414722,22
SA,2021-04-13,Surface,3.14644322644776,10,8.617276117968466,10
SA,2021-04-13,Mid-Depth,3.1682203028508065,10,8.490408154093284,10
SA,2021-04-13,Lower Photic,2.009615692161278,10,8.339260539791429,10
SA,2021-04-13,Deep,1.4736409840268263,22,8.01813157031061,22
SA,2021-05-11,Surface,1.4306587364361367,10,9.196334671022356,10
SA,2021-05-11,Mid-Depth,2.838991367649506,10,8.686566864979387,10
SA,2021-05-11,Lower Photic,1.242262779172972,10,8.227443168228294,10
SA,2021-05-11,Deep,0.8553736424131034,22,8.044658000041581,22
SA,2021-06-08,Surface,1.4064873979136563,10,8.701769712911908,10
SA,2021-06-08,Mid-Depth,1.646038253879825,10,8.164088295670158,10
SA,2021-06-08,Lower Photic,1.0445253021918233,10,7.508044724665043,10
SA,2021-06-08,Deep,0.6542416872931283,22,7.163887473659273,22
SA,2021-07-13,Surface,1.979374414218464,10,8.790574089420682,10
SA,2021-07-13,Mid-Depth,2.15144023178227,10,8.139767190772693,10
SA,2021-07-13,Lower Photic,1.811226891253419,10,7.328359039502503,10
SA,2021-07-13,Deep,0.8171279017529915,22,6.821691548001204,22
SA,2021-08-10,Surface,1.1373086230110685,10,8.81867005723878,10
SA,2021-08-10,Mid-Depth,1.8477183907898271,10,8.274745714797737,10
SA,2021-08-10,Lower Photic,1.5364102130384332,10,7.834496882963904,10
SA,2021-08-10,Deep,0.7960928806108829,22,7.055353744288192,22
SA,2021-09-07,Surface,1.6937075799950114,10,8.460061440855526,10
SA,2021-09-07,Mid-Depth,2.9706514245300566,10,7.941553032729457,10
SA,2021-09-07,Lower Photic,1.9642999607810665,10,7.571098429885856,10
SA,2021-09-07,Deep,0.8029104902900793,22,6.818276756363099,22
SA,2021-10-12,Surface,2.2831870613484093,10,8.439161917933353,10
SA,2021-10-12,Mid-Depth,3.435739649174888,10,7.381892311371198,10
SA,2021-10-12,Lower Photic,3.033711633551812,10,6.846809061609268,10
SA,2021-10-12,Deep,1.005565281935492,22,6.2046426265934125,22
SA,2021-11-09,Surface,6.724386148914741,10,8.523957968296644,10
SA,2021-11-09,Mid-Depth,6.922864117636583,10,7.895403876132072,10
SA,2021-11-09,Lower Photic,7.576431292041479,10,7.610040771435601,10
SA,2021-11-09,Deep,1.781399917308913,22,6.905632785602112,22
SA,2021-12-07,Surface,2.641214477956673,10,8.485185921378559,10
SA,2021-12-07,Mid-Depth,9.911594147264548,10,8.34657168525904,10
SA,2021-12-07,Lower Photic,10.512919168230578,10,8.205830431552096,10
SA,2021-12-07,Deep,10.562075618471551,22,8.121347648368031,22
SA,2022-01-18,Surface,2.2163984570731463,10,8.443497405877482,10
SA,2022-01-18,Mid-Depth,3.138322615816378,10,7.896820311634963,10
SA,2022-01-18,Lower Photic,1.7963386969273931,10,7.648760690556466,10
SA,2022-01-18,Deep,1.1237837981434673,22,7.39700155642692,22
SA,2022-02-08,Surface,2.453386320778011,10,8.601195844553827,10
SA,2022-02-08,Mid-Depth,3.314302604154453,10,7.9919841416092705,10
SA,2022-02-08,Lower Photic,3.239614030849335,10,7.664514325812971,10
SA,2022-02-08,Deep,5.486336593476789,22,7.52901286788019,22
SA,2022-03-08,Surface,2.6162426965416765,10,7.818140404790677,10
SA,2022-03-08,Mid-Depth,1.5452258786716278,10,7.76624073807469,10
SA,2022-03-08,Lower Photic,0.9617299746672392,10,7.755379972720448,10
SA,2022-03-08,Deep,0.6854367042037385,22,7.726128169603262,22
SA,2022-04-05,Surface,2.121317361000498,10,8.186896191007225,10
SA,2022-04-05,Mid-Depth,3.374976476268614,10,7.773333657727274,10
SA,2022-04-05,Lower Photic,3.016243492385115,10,7.419239627668167,10
SA,2022-04-05,Deep,1.2005827586212112,22,7.293737360979855,22
SA,2022-05-10,Surface,1.6944912085333192,10,8.508604717116302,10
SA,2022-05-10,Mid-Depth,1.9768739645495144,10,8.106056949868748,10
SA,2022-05-10,Lower Photic,1.23525769201575,10,7.629428319188326,10
SA,2022-05-10,Deep,0.7760748881748835,22,7.250936763111105,22
SA,2022-06-14,Surface,1.905614482951934,10,8.686991704305683,10
SA,2022-06-14,Mid-Depth,2.278477970304554,10,8.018405276524463,10
SA,2022-06-14,Lower Photic,1.6857007868516607,10,7.353183471888464,10
SA,2022-06-14,Deep,0.7053515291199955,22,6.718536309788487,22
SA,2022-07-12,Surface,1.6120014293767828,10,8.623072322266845,10
SA,2022-07-12,Mid-Depth,1.7210961575625077,10,8.006605659726512,10
SA,2022-07-12,Lower Photic,1.3238522372597992,10,7.511261952516783,10
SA,2022-07-12,Deep,0.7556088969290582,22,7.018226676340134,22
SA,2022-08-09,Surface,1.895803955199936,10,7.996239282129925,10
SA,2022-08-09,Mid-Depth,2.341983318756034,10,7.623406626006663,10
SA,2022-08-09,Lower Photic,1.9444940429471007,10,7.402694098589746,10
SA,2022-08-09,Deep,0.8056821583423536,22,6.635874307531373,22
SA,2022-09-06,Surface,1.7484837194527705,10,8.735566499468508,10
SA,2022-09-06,Mid-Depth,2.39621966478001,10,8.394361921326968,10
SA,2022-09-06,Lower Photic,1.68256562558602,10,7.8695547209986145,10
SA,2022-09-06,Deep,0.8759825709596616,22,7.08640517640342,22
SA,2022-10-18,Surface,2.969971890203756,10,8.618268004910682,10
SA,2022-10-18,Mid-Depth,3.222131053960535,10,7.797636799307895,10
SA,2022-10-18,Lower Photic,2.4105471362593667,10,7.459437624701636,10
SA,2022-10-18,Deep,0.9360959267012132,22,6.552496912347763,22
SA,2022-11-08,Surface,2.414392746325345,10,8.473295126734659,10
SA,2022-11-08,Mid-Depth,2.4535756107629467,10,8.342123769794235,10
SA,2022-11-08,Lower Photic,1.246891412580723,10,8.162074171824395,10
SA,2022-11-08,Deep,0.7893843701777944,22,7.479832725263178,22
SA,2022-12-06,Surface,1.9539234963213872,10,8.473870870849122,10
SA,2022-12-06,Mid-Depth,2.529173662209488,10,7.8390387091347025,10
SA,2022-12-06,Lower Photic,2.484127328541512,10,7.533497179858929,10
SA,2022-12-06,Deep,2.147610476868824,22,7.304393970958902,22
SA,2023-01-17,Surface,2.404316625794236,10,8.05742321351455,10
SA,2023-01-17,Mid-Depth,2.718232118092353,10,7.500367870173849,10
SA,2023-01-17,Lower Photic,2.31220518896788,10,7.213929122819954,10
SA,2023-01-17,Deep,1.9752669154085647,22,7.220624496024356,22
SA,2023-02-14,Surface,2.3199062616006096,10,7.617233086385653,10
SA,2023-02-14,Mid-Depth,6.854829328716238,10,7.166284961077499,10
SA,2023-02-14,Lower Photic,3.7852874642242407,10,6.842219082819604,10
SA,2023-02-14,Deep,3.5863131218412407,22,6.257852135300104,22
SA,2023-03-14,Surface,4.790844511402035,10,8.23091705614107,10
SA,2023-03-14,Mid-Depth,4.406903492829568,10,7.761768658510901,10
SA,2023-03-14,Lower Photic,5.662119385307709,10,7.411533569919653,10
SA,2023-03-14,Deep,1.8176542366738693,22,6.99960471317375,22
SA,2023-04-11,Surface,1.948239141152633,10,8.08301491558369,10
SA,2023-04-11,Mid-Depth,2.445948941068547,10,7.525652487433329,10
SA,2023-04-11,Lower Photic,2.1924950489307,10,7.242870635532194,10
SA,2023-04-11,Deep,0.9289392415448386,22,6.546955771762196,22
