location,date,depth_group,value_temp,measurement_count_temp,value_chlorophyll_a,measurement_count_chlorophyll_a,value_difference,measurement_count_difference
SA,2014-08-12,Mid-Depth,22.876,10,1.393,10,21.483,0
SA,2014-08-12,Lower Photic,22.722,10,1.438,10,21.284000000000002,0
SA,2014-08-12,Deep,21.24153783549198,22,0.6010520953957537,22,20.640485740096224,0
SA,2014-09-08,Surface,23.408,10,1.311,10,22.097,0
SA,2014-09-08,Mid-Depth,23.258,10,1.6329999999999998,10,21.625,0
SA,2014-09-08,Lower Photic,22.981,10,1.012,10,21.969,0
SA,2014-09-08,Deep,21.29742424242424,22,0.5309848484848486,22,20.76643939393939,0
SA,2014-10-07,Surface,23.492,10,2.416,10,21.076,0
SA,2014-10-07,Mid-Depth,23.29,10,3.455,10,19.835,0
SA,2014-10-07,Lower Photic,23.025,10,1.847,10,21.177999999999997,0
SA,2014-10-07,Deep,21.42108675155601,22,0.4542977025062711,22,20.96678904904974,0
SA,2014-11-11,Surface,22.344,10,3.05,10,19.294,0
SA,2014-11-11,Mid-Depth,22.249,10,3.532,10,18.717,0
SA,2014-11-11,Lower Photic,22.201,10,2.274,10,19.927,0
SA,2014-11-11,Deep,21.467100365661487,22,1.5454633273469782,22,19.921637038314508,0
SA,2014-12-08,Surface,21.139,10,2.8155,10,18.3235,0
SA,2014-12-08,Mid-Depth,21.133,10,3.351,10,17.782,0
SA,2014-12-08,Lower Photic,21.131,10,3.567,10,17.564,0
SA,2014-12-08,Deep,21.12462121212121,22,3.967727272727273,22,17.156893939393935,0
SA,2015-01-13,Surface,20.436,10,3.1979999999999995,10,17.238,0
SA,2015-01-13,Mid-Depth,20.357,10,4.276000000000001,10,16.081,0
SA,2015-01-13,Lower Photic,20.237,10,4.405,10,15.831999999999997,0
SA,2015-01-13,Deep,20.19439393939394,22,4.475227272727272,22,15.719166666666668,0
SA,2015-02-10,Surface,20.545,10,3.136,10,17.409000000000002,0
SA,2015-02-10,Mid-Depth,20.323,10,2.059,10,18.264,0
SA,2015-02-10,Lower Photic,20.225,10,1.593,10,18.632,0
SA,2015-02-10,Deep,20.176893939393945,22,1.8758333333333328,22,18.301060606060613,0
SA,2015-03-10,Surface,20.569,10,2.96,10,17.608999999999998,0
SA,2015-03-10,Mid-Depth,20.451,10,4.984,10,15.467,0
SA,2015-03-10,Lower Photic,20.369,10,4.583,10,15.786,0
SA,2015-03-10,Deep,20.305909090909097,22,5.040530303030303,22,15.265378787878795,0
SA,2015-04-14,Surface,22.049,10,0.776,10,21.273,0
SA,2015-04-14,Mid-Depth,21.45,10,1.168,10,20.282,0
SA,2015-04-14,Lower Photic,21.24,10,1.0720000000000005,10,20.168,0
SA,2015-04-14,Deep,20.531136363636367,22,0.5587878787878787,22,19.97234848484849,0
SA,2015-06-09,Surface,23.843,10,0.711,10,23.132,0
SA,2015-06-09,Mid-Depth,23.772,10,0.929,10,22.843,0
SA,2015-06-09,Lower Photic,22.211,10,0.937,10,21.273999999999997,0
SA,2015-06-09,Deep,20.6980303030303,22,0.5393939393939392,22,20.15863636363636,0
SA,2015-07-14,Surface,22.84,10,1.2520000000000002,10,21.588,0
SA,2015-07-14,Mid-Depth,22.804,10,1.988,10,20.816,0
SA,2015-07-14,Lower Photic,22.655,10,1.437,10,21.218,0
SA,2015-07-14,Deep,20.87621212121212,22,0.7236363636363637,22,20.152575757575757,0
SA,2015-08-10,Surface,23.6,10,1.357,10,22.243000000000002,0
SA,2015-08-10,Mid-Depth,23.409,10,1.645,10,21.764,0
SA,2015-08-10,Lower Photic,22.787,10,1.19,10,21.596999999999998,0
SA,2015-08-10,Deep,21.0689393939394,22,0.730378787878788,22,20.33856060606061,0
SA,2015-09-09,Surface,23.729000000000003,10,1.594,10,22.135,0
SA,2015-09-09,Mid-Depth,23.603,10,2.521,10,21.082,0
SA,2015-09-09,Lower Photic,23.267000000000003,10,2.26,10,21.007000000000005,0
SA,2015-09-09,Deep,21.08113636363636,22,0.6046969696969697,22,20.47643939393939,0
SA,2015-10-06,Surface,23.903,10,1.836,10,22.067,0
SA,2015-10-06,Mid-Depth,23.627,10,2.045,10,21.582,0
SA,2015-10-06,Lower Photic,23.235000000000003,10,1.287,10,21.948000000000004,0
SA,2015-10-06,Deep,21.183636363636364,22,0.4741666666666667,22,20.7094696969697,0
SA,2015-11-11,Surface,23.53,10,2.4915392856423737,10,21.038460714357626,0
SA,2015-11-11,Mid-Depth,23.5,10,3.0906202603698234,10,20.409379739630175,0
SA,2015-11-11,Lower Photic,23.41,10,2.576048265567105,10,20.833951734432894,0
SA,2015-11-11,Deep,21.748565435402423,22,1.4276198709673351,22,20.32094556443509,0
SA,2016-01-19,Surface,21.549,10,1.8560000000000003,10,19.692999999999998,0
SA,2016-01-19,Mid-Depth,21.534,10,2.124,10,19.41,0
SA,2016-01-19,Lower Photic,21.51,10,2.3470000000000004,10,19.163,0
SA,2016-01-19,Deep,21.36431818181818,22,1.6234848484848483,22,19.74083333333333,0
SA,2016-02-16,Surface,20.9,10,3.079947655254644,10,17.820052344745356,0
SA,2016-02-16,Mid-Depth,20.811,10,2.7880000000000003,10,18.023,0
SA,2016-02-16,Lower Photic,20.686,10,2.4855,10,18.200499999999998,0
SA,2016-02-16,Deep,20.638484848484847,22,2.308181818181818,22,18.33030303030303,0
SA,2016-03-01,Surface,21.147,10,3.553,10,17.593999999999998,0
SA,2016-03-01,Mid-Depth,20.798,10,3.173,10,17.625,0
SA,2016-03-01,Lower Photic,20.732,10,1.972,10,18.759999999999998,0
SA,2016-03-01,Deep,20.64598484848485,22,1.4427272727272726,22,19.20325757575758,0
SA,2016-04-12,Surface,22.469,10,1.759,10,20.71,0
SA,2016-04-12,Mid-Depth,22.258000000000003,10,2.3070000000000004,10,19.951,0
SA,2016-04-12,Lower Photic,21.311,10,1.235,10,20.076,0
SA,2016-04-12,Deep,20.72515151515152,22,0.3359090909090909,22,20.38924242424243,0
SA,2016-05-17,Surface,23.731,10,0.7969999999999999,10,22.934,0
SA,2016-05-17,Mid-Depth,23.499,10,1.243,10,22.256,0
SA,2016-05-17,Lower Photic,21.894,10,0.759,10,21.134999999999998,0
SA,2016-05-17,Deep,20.83318181818182,22,0.2252272727272727,22,20.607954545454547,0
SA,2016-06-14,Surface,23.969,10,0.479,10,23.490000000000002,0
SA,2016-06-14,Mid-Depth,23.884000000000004,10,1.038,10,22.846000000000004,0
SA,2016-06-14,Lower Photic,23.028,10,0.996,10,22.032,0
SA,2016-06-14,Deep,20.852954545454548,22,0.3159848484848485,22,20.5369696969697,0
SA,2016-07-12,Surface,23.888,10,0.8859999999999999,10,23.002000000000002,0
SA,2016-07-12,Mid-Depth,23.694,10,1.249,10,22.445,0
SA,2016-07-12,Lower Photic,22.484,10,0.963,10,21.521,0
SA,2016-07-12,Deep,20.864469696969703,22,0.3241666666666666,22,20.540303030303036,0
SA,2016-08-09,Surface,23.555,10,0.792,10,22.762999999999998,0
SA,2016-08-09,Mid-Depth,23.322,10,1.28,10,22.041999999999998,0
SA,2016-08-09,Lower Photic,23.053000000000004,10,1.539,10,21.514000000000003,0
SA,2016-08-09,Deep,21.07159090909091,22,0.6162121212121213,22,20.45537878787879,0
SA,2016-09-06,Surface,23.697,10,0.497,10,23.2,0
SA,2016-09-06,Mid-Depth,23.622,10,0.8400000000000001,10,22.782,0
SA,2016-09-06,Lower Photic,23.374,10,0.844,10,22.529999999999998,0
SA,2016-09-06,Deep,21.13462121212121,22,0.3584848484848484,22,20.77613636363636,0
SA,2016-10-11,Surface,23.465,10,0.639,10,22.826,0
SA,2016-10-11,Mid-Depth,23.409,10,1.5379999999999998,10,21.871,0
SA,2016-10-11,Lower Photic,23.364,10,1.835,10,21.529,0
SA,2016-10-11,Deep,21.35894400464632,22,0.5908143719339326,22,20.768129632712387,0
SA,2016-11-08,Surface,22.714,10,1.47,10,21.244,0
SA,2016-11-08,Mid-Depth,22.659,10,1.8040000000000005,10,20.854999999999997,0
SA,2016-11-08,Lower Photic,22.597,10,2.2,10,20.397000000000002,0
SA,2016-11-08,Deep,21.37280303030303,22,1.2381060606060603,22,20.134696969696968,0
SA,2016-12-05,Surface,21.665000000000003,10,1.3119999999999998,10,20.353,0
SA,2016-12-05,Mid-Depth,21.624,10,1.611,10,20.012999999999998,0
SA,2016-12-05,Lower Photic,21.546,10,1.0710000000000002,10,20.474999999999998,0
SA,2016-12-05,Deep,21.409469696969698,22,0.7399242424242426,22,20.669545454545457,0
SA,2017-02-07,Surface,20.512,10,1.383,10,19.129,0
SA,2017-02-07,Mid-Depth,20.504,10,1.5060000000000002,10,18.998,0
SA,2017-02-07,Lower Photic,20.463,10,1.5100000000000002,10,18.953,0
SA,2017-02-07,Deep,20.359015151515152,22,1.2718939393939397,22,19.08712121212121,0
SA,2017-03-13,Surface,20.99,10,1.843,10,19.147,0
SA,2017-03-13,Mid-Depth,20.618,10,1.626,10,18.991999999999997,0
SA,2017-03-13,Lower Photic,20.538,10,1.225,10,19.313,0
SA,2017-03-13,Deep,20.448181818181816,22,0.6609090909090909,22,19.787272727272725,0
SA,2017-04-18,Surface,21.621,10,0.859,10,20.762,0
SA,2017-04-18,Mid-Depth,21.455,10,1.117,10,20.337999999999997,0
SA,2017-04-18,Lower Photic,21.263,10,0.961,10,20.302000000000003,0
SA,2017-04-18,Deep,20.57977272727273,22,0.5663636363636363,22,20.013409090909093,0
SA,2017-05-16,Surface,22.95,10,0.729,10,22.221,0
SA,2017-05-16,Mid-Depth,22.441,10,0.902,10,21.538999999999998,0
SA,2017-05-16,Lower Photic,21.528,10,0.639,10,20.889,0
SA,2017-05-16,Deep,20.648030303030303,22,0.3054545454545455,22,20.34257575757576,0
SA,2017-06-13,Surface,23.515,10,1.3770000000000002,10,22.138,0
SA,2017-06-13,Mid-Depth,23.335,10,1.495,10,21.84,0
SA,2017-06-13,Lower Photic,22.251,10,0.8219999999999998,10,21.429000000000002,0
SA,2017-06-13,Deep,20.717575757575755,22,0.3203787878787879,22,20.397196969696967,0
SA,2017-07-11,Surface,23.498,10,0.777,10,22.721,0
SA,2017-07-11,Mid-Depth,23.262,10,1.039,10,22.223,0
SA,2017-07-11,Lower Photic,22.642000000000003,10,1.06,10,21.582000000000004,0
SA,2017-07-11,Deep,20.85636363636364,22,0.2907575757575757,22,20.565606060606065,0
SA,2017-08-08,Surface,23.689000000000004,10,1.068,10,22.621000000000002,0
SA,2017-08-08,Mid-Depth,23.432,10,1.171,10,22.261,0
SA,2017-08-08,Lower Photic,22.146,10,0.842,10,21.304000000000002,0
SA,2017-08-08,Deep,20.7614393939394,22,0.2776515151515152,22,20.483787878787886,0
SA,2017-09-12,Surface,23.688,10,1.312,10,22.375999999999998,0
SA,2017-09-12,Mid-Depth,23.575,10,1.121,10,22.454,0
SA,2017-09-12,Lower Photic,22.954,10,0.85,10,22.104,0
SA,2017-09-12,Deep,20.93454545454546,22,0.2089393939393939,22,20.72560606060607,0
SA,2017-10-12,Surface,23.228,10,0.596,10,22.632,0
SA,2017-10-12,Mid-Depth,23.182,10,1.18,10,22.002,0
SA,2017-10-12,Lower Photic,23.004,10,1.504,10,21.5,0
SA,2017-10-12,Deep,21.053030303030305,22,0.4075757575757575,22,20.645454545454548,0
SA,2017-11-07,Surface,22.895,10,1.135,10,21.759999999999998,0
SA,2017-11-07,Mid-Depth,22.808,10,1.99,10,20.818,0
SA,2017-11-07,Lower Photic,22.695,10,1.956,10,20.739,0
SA,2017-11-07,Deep,21.20151515151516,22,0.7192424242424242,22,20.482272727272736,0
SA,2017-12-13,Surface,22.63241002344351,10,1.9070000000000005,10,20.72541002344351,0
SA,2017-12-13,Mid-Depth,22.442656658235443,10,2.338,10,20.10465665823544,0
SA,2017-12-13,Lower Photic,21.971324115781748,10,2.466,10,19.505324115781747,0
SA,2017-12-13,Deep,20.908685248937186,22,2.337045454545456,22,18.57163979439173,0
SA,2018-01-11,Surface,20.5202380383076,10,8.752287026428798,10,11.767951011878802,0
SA,2018-01-11,Mid-Depth,20.436552796366065,10,6.28692750696432,10,14.149625289401746,0
SA,2018-01-11,Lower Photic,20.332573311857,10,5.654546299790479,10,14.678027012066522,0
SA,2018-01-11,Deep,20.29292117647401,22,5.85072548993748,22,14.44219568653653,0
SA,2018-02-07,Surface,20.33826735312335,10,7.878703237897696,10,12.459564115225653,0
SA,2018-02-07,Mid-Depth,20.256593756312583,10,4.271905410142258,10,15.984688346170325,0
SA,2018-02-07,Lower Photic,20.191629611233147,10,3.624603581135217,10,16.567026030097928,0
SA,2018-02-07,Deep,20.1158127404174,22,2.909738618579068,22,17.206074121838334,0
SA,2018-03-13,Surface,20.690840305194644,10,7.261936698745066,10,13.428903606449579,0
SA,2018-03-13,Mid-Depth,20.46092734295344,10,8.920386000528863,10,11.540541342424577,0
SA,2018-03-13,Lower Photic,20.34979156229295,10,9.448971286538251,10,10.900820275754699,0
SA,2018-03-13,Deep,20.27849406022767,22,6.556422660535953,22,13.722071399691716,0
SA,2018-04-10,Surface,21.511399298186973,10,2.877489439674273,10,18.6339098585127,0
SA,2018-04-10,Mid-Depth,21.22498172447224,10,2.419978705185602,10,18.805003019286637,0
SA,2018-04-10,Lower Photic,20.939183357766613,10,1.9795940739743507,10,18.959589283792262,0
SA,2018-04-10,Deep,20.39089836215005,22,0.6943583432047271,22,19.696540018945324,0
SA,2018-05-15,Surface,22.710955471453925,10,1.9890922544297167,10,20.721863217024207,0
SA,2018-05-15,Mid-Depth,22.184185827617448,10,2.5738895369815613,10,19.610296290635887,0
SA,2018-05-15,Lower Photic,21.24861990815593,10,1.2544293160524185,10,19.99419059210351,0
SA,2018-05-15,Deep,20.478883309169262,22,0.7334180042350227,22,19.74546530493424,0
SA,2018-06-12,Surface,23.26055297076557,10,2.328827108896434,10,20.931725861869136,0
SA,2018-06-12,Mid-Depth,23.17331601919259,10,1.9928486213723555,10,21.180467397820234,0
SA,2018-06-12,Lower Photic,21.71986499259691,10,1.1723648633948294,10,20.54750012920208,0
SA,2018-06-12,Deep,20.56912464818173,22,0.6274383974911077,22,19.941686250690623,0
SA,2018-07-17,Surface,22.59701799,10,2.513865501,10,20.083152489,0
SA,2018-07-17,Mid-Depth,22.58838491,10,2.947426491,10,19.640958419,0
SA,2018-07-17,Lower Photic,22.439195179999995,10,5.012698192999999,10,17.426496986999997,0
SA,2018-07-17,Deep,20.7074876742559,22,1.1983978314335724,22,19.50908984282233,0
SA,2018-08-14,Surface,23.27504728986564,10,1.5292082565553833,10,21.745839033310258,0
SA,2018-08-14,Mid-Depth,23.022039496632893,10,2.125499455049102,10,20.89654004158379,0
SA,2018-08-14,Lower Photic,22.45664567510169,10,1.90585239885023,10,20.55079327625146,0
SA,2018-08-14,Deep,20.895598871292023,22,0.8389446794611625,22,20.056654191830862,0
SA,2018-09-11,Surface,23.56241387824533,10,2.15439224240905,10,21.40802163583628,0
SA,2018-09-11,Mid-Depth,23.24280565034285,10,2.68106496836621,10,20.561740681976637,0
SA,2018-09-11,Lower Photic,22.50914837250721,10,1.9045275989657129,10,20.604620773541495,0
SA,2018-09-11,Deep,20.79615820121716,22,0.913369319461593,22,19.882788881755566,0
SA,2018-09-24,Surface,23.65690985695093,10,1.949981528948277,10,21.70692832800265,0
SA,2018-09-24,Mid-Depth,23.45309175460323,10,1.364167616595907,10,22.08892413800732,0
SA,2018-09-24,Lower Photic,22.82425325018124,10,0.9607974684821118,10,21.863455781699127,0
SA,2018-09-24,Deep,20.886285770818407,22,0.5628220465129435,22,20.323463724305462,0
SA,2018-11-14,Surface,22.6598544066547,10,2.714807095129829,10,19.94504731152487,0
SA,2018-11-14,Mid-Depth,22.65445147699692,10,3.2430496042905235,10,19.411401872706396,0
SA,2018-11-14,Lower Photic,22.571739745858384,10,2.6108436754580127,10,19.96089607040037,0
SA,2018-11-14,Deep,21.100684129810304,22,0.9615655589530828,22,20.13911857085722,0
SA,2018-12-12,Surface,21.487154458427337,10,1.810013346883298,10,19.67714111154404,0
SA,2018-12-12,Mid-Depth,21.45700746456115,10,2.122052677596734,10,19.334954786964417,0
SA,2018-12-12,Lower Photic,21.449602824713885,10,2.115221570587407,10,19.334381254126477,0
SA,2018-12-12,Deep,21.34848891258049,22,1.5290469791579684,22,19.81944193342252,0
SA,2019-02-12,Surface,20.702490192694547,10,5.687332725419779,10,15.015157467274769,0
SA,2019-02-12,Mid-Depth,20.60797782834327,10,3.41828417426224,10,17.18969365408103,0
SA,2019-02-12,Lower Photic,20.558585812170616,10,3.250231343030658,10,17.308354469139957,0
SA,2019-02-12,Deep,20.496594781807104,22,4.25795722831614,22,16.238637553490964,0
SA,2019-03-12,Surface,21.21877371856285,10,7.814047928189458,10,13.404725790373393,0
SA,2019-03-12,Mid-Depth,21.02425102986736,10,3.103211173818074,10,17.921039856049287,0
SA,2019-03-12,Lower Photic,20.88785264887316,10,3.396465523702181,10,17.49138712517098,0
SA,2019-03-12,Deep,20.6101112283476,22,1.2296696738526092,22,19.38044155449499,0
SA,2019-04-09,Surface,21.52861237700457,10,3.3418016170557943,10,18.186810759948777,0
SA,2019-04-09,Mid-Depth,21.24029360043394,10,2.568784146999403,10,18.67150945343454,0
SA,2019-04-09,Lower Photic,21.068945156218007,10,2.192880137513177,10,18.87606501870483,0
SA,2019-04-09,Deep,20.781646093611258,22,1.171822021140384,22,19.609824072470875,0
SA,2019-05-14,Surface,23.30046823987769,10,1.760399615041472,10,21.54006862483622,0
SA,2019-05-14,Mid-Depth,22.664766642694683,10,1.527548072213902,10,21.13721857048078,0
SA,2019-05-14,Lower Photic,21.61179392160413,10,0.7987877327958229,10,20.813006188808306,0
SA,2019-05-14,Deep,20.81963741835721,22,0.5516138286157649,22,20.268023589741446,0
SA,2019-06-12,Surface,23.624793725729923,10,1.336600741557334,10,22.28819298417259,0
SA,2019-06-12,Mid-Depth,23.18571659052753,10,1.5918136835032333,10,21.593902907024297,0
SA,2019-06-12,Lower Photic,21.59846992422645,10,0.901733854831698,10,20.696736069394753,0
SA,2019-06-12,Deep,20.911966944415376,22,0.571227630306109,22,20.340739314109268,0
SA,2019-07-12,Surface,23.44526641339656,10,2.348391235403748,10,21.09687517799281,0
SA,2019-07-12,Mid-Depth,23.41489277023116,10,2.044121051714108,10,21.37077171851705,0
SA,2019-07-12,Lower Photic,22.07190712065769,10,1.351413540580777,10,20.720493580076916,0
SA,2019-07-12,Deep,20.83351881493023,22,0.6365003158442072,22,20.197018499086024,0
SA,2019-08-13,Surface,23.85895613334602,10,1.3008741274172562,10,22.558082005928764,0
SA,2019-08-13,Mid-Depth,23.696775076208013,10,1.7216089930632752,10,21.97516608314474,0
SA,2019-08-13,Lower Photic,22.92072659253109,10,1.559891191256447,10,21.36083540127464,0
SA,2019-08-13,Deep,20.941336049420617,22,0.6547868611378724,22,20.286549188282745,0
SA,2019-09-10,Surface,23.77249476160109,10,1.7070135208590158,10,22.065481240742077,0
SA,2019-09-10,Mid-Depth,23.66507000815718,10,7.41476237350075,10,16.25030763465643,0
SA,2019-09-10,Lower Photic,22.94854041810324,10,3.4927395543334647,10,19.455800863769774,0
SA,2019-09-10,Deep,20.98607116600324,22,0.882943111092785,22,20.103128054910453,0
SA,2020-02-11,Surface,21.33902148354723,10,6.817775079328735,10,14.521246404218497,0
SA,2020-02-11,Mid-Depth,21.15303414762065,10,7.55487497263901,10,13.598159174981642,0
SA,2020-02-11,Lower Photic,20.98359721532198,10,8.09222813634279,10,12.891369078979189,0
SA,2020-02-11,Deep,20.861395591701694,22,4.394187553268791,22,16.4672080384329,0
SA,2020-05-12,Surface,23.53035793049672,10,2.074522138005202,10,21.45583579249152,0
SA,2020-05-12,Mid-Depth,23.28963210304729,10,3.101882836301979,10,20.18774926674531,0
SA,2020-05-12,Lower Photic,21.946302393916163,10,1.601384045821887,10,20.344918348094275,0
SA,2020-05-12,Deep,20.9243775319908,22,0.7923798939287732,22,20.131997638062025,0
SA,2020-06-09,Surface,23.28527303818646,10,2.768513302142617,10,20.516759736043845,0
SA,2020-06-09,Mid-Depth,22.92885147960438,10,4.199933338571873,10,18.728918141032505,0
SA,2020-06-09,Lower Photic,22.069566129616632,10,2.6050905649092817,10,19.46447556470735,0
SA,2020-06-09,Deep,20.96450511988979,22,0.7501230646839715,22,20.214382055205817,0
SA,2020-07-14,Surface,23.73168301290067,10,3.360208299000825,10,20.371474713899847,0
SA,2020-07-14,Mid-Depth,23.55061825773791,10,3.603102310693687,10,19.947515947044224,0
SA,2020-07-14,Lower Photic,22.4497737157579,10,1.847180620793872,10,20.60259309496403,0
SA,2020-07-14,Deep,21.020885273841063,22,0.7381805244747085,22,20.282704749366356,0
SA,2020-08-11,Surface,24.002584446308955,10,1.674829307558095,10,22.32775513875086,0
SA,2020-08-11,Mid-Depth,23.982929243013803,10,1.808171173661892,10,22.17475806935191,0
SA,2020-08-11,Lower Photic,22.59068701149853,10,1.545355992271591,10,21.04533101922694,0
SA,2020-08-11,Deep,20.992283404305155,22,0.7064158537538755,22,20.28586755055128,0
SA,2020-09-08,Surface,23.567815874440647,10,1.482193203806359,10,22.085622670634287,0
SA,2020-09-08,Mid-Depth,23.49386867580756,10,1.5365379643078168,10,21.957330711499743,0
SA,2020-09-08,Lower Photic,22.73356598934182,10,0.9193694084167124,10,21.814196580925106,0
SA,2020-09-08,Deep,21.07127958435399,22,0.5553959604987919,22,20.5158836238552,0
SA,2020-10-13,Surface,23.68452260164621,10,1.362731184728692,10,22.32179141691752,0
SA,2020-10-13,Mid-Depth,23.57620104138033,10,2.607952943381316,10,20.968248097999012,0
SA,2020-10-13,Lower Photic,23.26372722012307,10,1.7623666314882371,10,21.50136058863483,0
SA,2020-10-13,Deep,21.11999166335087,22,0.6594332020494404,22,20.460558461301428,0
SA,2020-11-10,Surface,22.68513224743012,10,9.514661014562336,10,13.170471232867783,0
SA,2020-11-10,Mid-Depth,22.63383639794833,10,5.791107587921809,10,16.84272881002652,0
SA,2020-11-10,Lower Photic,22.55730522005738,10,4.302832840833316,10,18.25447237922406,0
SA,2020-11-10,Deep,21.27074877578288,22,3.1408650647999816,22,18.1298837109829,0
SA,2020-12-08,Surface,21.89535406059401,10,2.346159692855997,10,19.54919436773801,0
SA,2020-12-08,Mid-Depth,21.88242209780194,10,2.399402710430792,10,19.483019387371147,0
SA,2020-12-08,Lower Photic,21.87396259143295,10,2.510686707117799,10,19.36327588431515,0
SA,2020-12-08,Deep,21.501875063508702,22,1.7375478275409242,22,19.764327235967777,0
SA,2021-01-19,Surface,21.318093289451973,10,2.6840776073798533,10,18.634015682072118,0
SA,2021-01-19,Mid-Depth,21.26967256850358,10,3.777258195061256,10,17.492414373442323,0
SA,2021-01-19,Lower Photic,21.202129083092068,10,3.81723443849071,10,17.384894644601356,0
SA,2021-01-19,Deep,21.099721950993366,22,3.8107329062011335,22,17.28898904479223,0
SA,2021-02-16,Surface,21.04430226843254,10,3.379432068765972,10,17.664870199666566,0
SA,2021-02-16,Mid-Depth,20.87808176675496,10,3.86528773116857,10,17.01279403558639,0
SA,2021-02-16,Lower Photic,20.76622462600214,10,2.582290988017096,10,18.183933637985042,0
SA,2021-02-16,Deep,20.65961150723865,22,1.6826779479707938,22,18.976933559267856,0
SA,2021-03-16,Surface,21.21687267998319,10,3.135489515498881,10,18.081383164484308,0
SA,2021-03-16,Mid-Depth,20.99446653770507,10,2.244651224234037,10,18.749815313471032,0
SA,2021-03-16,Lower Photic,20.938718685518783,10,1.611949442733979,10,19.326769242784803,0
SA,2021-03-16,Deep,20.831462046159047,22,1.1490912106638291,22,19.682370835495217,0
SA,2021-04-13,Surface,21.49837767428468,10,3.14644322644776,10,18.351934447836918,0
SA,2021-04-13,Mid-Depth,21.12307115703946,10,3.1682203028508065,10,17.954850854188653,0
SA,2021-04-13,Lower Photic,21.04343107862851,10,2.009615692161278,10,19.033815386467232,0
SA,2021-04-13,Deep,20.91615465896217,22,1.4736409840268263,22,19.442513674935345,0
SA,2021-05-11,Surface,22.71575840948448,10,1.4306587364361367,10,21.285099673048343,0
SA,2021-05-11,Mid-Depth,22.17472233805529,10,2.838991367649506,10,19.335730970405784,0
SA,2021-05-11,Lower Photic,21.2261641363141,10,1.242262779172972,10,19.98390135714113,0
SA,2021-05-11,Deep,20.93310838098945,22,0.8553736424131034,22,20.077734738576346,0
SA,2021-06-08,Surface,23.97214504348512,10,1.4064873979136563,10,22.565657645571463,0
SA,2021-06-08,Mid-Depth,23.21454280506806,10,1.646038253879825,10,21.568504551188234,0
SA,2021-06-08,Lower Photic,21.635146854114293,10,1.0445253021918233,10,20.59062155192247,0
SA,2021-06-08,Deep,20.98233890788356,22,0.6542416872931283,22,20.32809722059043,0
SA,2021-07-13,Surface,23.637088826781,10,1.979374414218464,10,21.657714412562534,0
SA,2021-07-13,Mid-Depth,23.581186706274742,10,2.15144023178227,10,21.42974647449247,0
SA,2021-07-13,Lower Photic,21.77977259339487,10,1.811226891253419,10,19.96854570214145,0
SA,2021-07-13,Deep,20.986901956747715,22,0.8171279017529915,22,20.169774054994726,0
SA,2021-08-10,Surface,23.4723743180766,10,1.1373086230110685,10,22.33506569506553,0
SA,2021-08-10,Mid-Depth,23.394414329983217,10,1.8477183907898271,10,21.54669593919339,0
SA,2021-08-10,Lower Photic,22.63520186573403,10,1.5364102130384332,10,21.098791652695596,0
SA,2021-08-10,Deep,21.06558508094619,22,0.7960928806108829,22,20.269492200335307,0
SA,2021-09-07,Surface,23.64865212461325,10,1.6937075799950114,10,21.95494454461824,0
SA,2021-09-07,Mid-Depth,23.43973852220048,10,2.9706514245300566,10,20.46908709767042,0
