location,date,depth_group,value_chlorophyll_a,measurement_count_chlorophyll_a,value_ph,measurement_count_ph,value_difference,measurement_count_difference
SA,2014-11-11,Deep,1.5454633273469782,22,8.542768855818862,22,-6.997305528471884,0
SA,2014-12-08,Surface,2.8155,10,8.495,10,-5.679499999999999,0
SA,2014-12-08,Mid-Depth,3.351,10,8.515,10,-5.164000000000001,0
SA,2014-12-08,Lower Photic,3.567,10,8.479000000000001,10,-4.912000000000001,0
SA,2014-12-08,Deep,3.967727272727273,22,8.427575757575756,22,-4.459848484848482,0
SA,2015-01-13,Surface,3.1979999999999995,10,8.510000000000002,10,-5.312000000000002,0
SA,2015-01-13,Mid-Depth,4.276000000000001,10,8.509,10,-4.233,0
SA,2015-01-13,Lower Photic,4.405,10,8.470000000000002,10,-4.065000000000002,0
SA,2015-01-13,Deep,4.475227272727272,22,8.429166666666667,22,-3.953939393939395,0
SA,2015-02-10,Surface,3.136,10,8.278,10,-5.142,0
SA,2015-02-10,Mid-Depth,2.059,10,8.142999999999999,10,-6.083999999999999,0
SA,2015-02-10,Lower Photic,1.593,10,8.139,10,-6.545999999999999,0
SA,2015-02-10,Deep,1.8758333333333328,22,8.12371212121212,22,-6.247878787878788,0
SA,2015-03-10,Surface,2.96,10,8.599,10,-5.639,0
SA,2015-03-10,Mid-Depth,4.984,10,8.533999999999999,10,-3.549999999999999,0
SA,2015-03-10,Lower Photic,4.583,10,8.438999999999998,10,-3.855999999999998,0
SA,2015-03-10,Deep,5.040530303030303,22,8.359090909090908,22,-3.318560606060605,0
SA,2015-04-14,Surface,0.776,10,8.673000000000002,10,-7.897000000000002,0
SA,2015-04-14,Mid-Depth,1.168,10,8.674999999999999,10,-7.506999999999999,0
SA,2015-04-14,Lower Photic,1.0720000000000005,10,8.57,10,-7.497999999999999,0
SA,2015-04-14,Deep,0.5587878787878787,22,8.10469696969697,22,-7.545909090909092,0
SA,2015-06-09,Surface,0.711,10,8.736999999999998,10,-8.025999999999998,0
SA,2015-06-09,Mid-Depth,0.929,10,8.724,10,-7.795,0
SA,2015-06-09,Lower Photic,0.937,10,8.315999999999999,10,-7.378999999999999,0
SA,2015-06-09,Deep,0.5393939393939392,22,7.950227272727272,22,-7.410833333333333,0
SA,2015-07-14,Surface,1.2520000000000002,10,8.614,10,-7.362,0
SA,2015-07-14,Mid-Depth,1.988,10,8.647000000000002,10,-6.6590000000000025,0
SA,2015-07-14,Lower Photic,1.437,10,8.641,10,-7.204,0
SA,2015-07-14,Deep,0.7236363636363637,22,8.062424242424242,22,-7.338787878787879,0
SA,2015-08-10,Surface,1.357,10,8.817000000000002,10,-7.460000000000002,0
SA,2015-08-10,Mid-Depth,1.645,10,8.819999999999999,10,-7.174999999999999,0
SA,2015-08-10,Lower Photic,1.19,10,8.678999999999998,10,-7.488999999999999,0
SA,2015-08-10,Deep,0.730378787878788,22,8.204166666666666,22,-7.473787878787878,0
SA,2015-09-09,Surface,1.594,10,8.969999999999999,10,-7.375999999999999,0
SA,2015-09-09,Mid-Depth,2.521,10,8.675999999999998,10,-6.1549999999999985,0
SA,2015-09-09,Lower Photic,2.26,10,8.338000000000001,10,-6.078000000000001,0
SA,2015-09-09,Deep,0.6046969696969697,22,7.86159090909091,22,-7.25689393939394,0
SA,2015-10-06,Surface,1.836,10,8.957000000000003,10,-7.121000000000002,0
SA,2015-10-06,Mid-Depth,2.045,10,8.867,10,-6.822000000000001,0
SA,2015-10-06,Lower Photic,1.287,10,8.464,10,-7.1770000000000005,0
SA,2015-10-06,Deep,0.4741666666666667,22,8.008712121212122,22,-7.534545454545455,0
SA,2015-11-11,Surface,2.4915392856423737,10,8.906,10,-6.414460714357627,0
SA,2015-11-11,Mid-Depth,3.0906202603698234,10,8.842999999999998,10,-5.752379739630175,0
SA,2015-11-11,Lower Photic,2.576048265567105,10,8.625,10,-6.048951734432896,0
SA,2015-11-11,Deep,1.4276198709673351,22,7.890293943110866,22,-6.46267407214353,0
SA,2016-01-19,Surface,1.8560000000000003,10,7.980999999999999,10,-6.124999999999998,0
SA,2016-01-19,Mid-Depth,2.124,10,7.891,10,-5.7669999999999995,0
SA,2016-01-19,Lower Photic,2.3470000000000004,10,7.770999999999999,10,-5.423999999999999,0
SA,2016-01-19,Deep,1.6234848484848483,22,7.559772727272726,22,-5.936287878787878,0
SA,2016-02-16,Surface,3.079947655254644,10,8.143,10,-5.063052344745357,0
SA,2016-02-16,Mid-Depth,2.7880000000000003,10,8.11,10,-5.321999999999999,0
SA,2016-02-16,Lower Photic,2.4855,10,8.048,10,-5.5625,0
SA,2016-02-16,Deep,2.308181818181818,22,8.067121212121211,22,-5.758939393939393,0
SA,2016-03-01,Surface,3.553,10,8.652,10,-5.098999999999999,0
SA,2016-03-01,Mid-Depth,3.173,10,8.559999999999999,10,-5.386999999999999,0
SA,2016-03-01,Lower Photic,1.972,10,8.495000000000001,10,-6.5230000000000015,0
SA,2016-03-01,Deep,1.4427272727272726,22,8.483030303030302,22,-7.04030303030303,0
SA,2016-04-12,Surface,1.759,10,8.64,10,-6.881,0
SA,2016-04-12,Mid-Depth,2.3070000000000004,10,8.553,10,-6.246,0
SA,2016-04-12,Lower Photic,1.235,10,8.273,10,-7.037999999999999,0
SA,2016-04-12,Deep,0.3359090909090909,22,8.24159090909091,22,-7.905681818181819,0
SA,2016-05-17,Surface,0.7969999999999999,10,8.4,10,-7.603000000000001,0
SA,2016-05-17,Mid-Depth,1.243,10,8.364,10,-7.121,0
SA,2016-05-17,Lower Photic,0.759,10,7.929,10,-7.17,0
SA,2016-05-17,Deep,0.2252272727272727,22,7.803030303030303,22,-7.57780303030303,0
SA,2016-06-14,Surface,0.479,10,8.747,10,-8.268,0
SA,2016-06-14,Mid-Depth,1.038,10,8.624,10,-7.586,0
SA,2016-06-14,Lower Photic,0.996,10,8.241,10,-7.244999999999999,0
SA,2016-06-14,Deep,0.3159848484848485,22,7.858712121212122,22,-7.542727272727273,0
SA,2016-07-12,Surface,0.8859999999999999,10,8.743,10,-7.857,0
SA,2016-07-12,Mid-Depth,1.249,10,8.716000000000001,10,-7.4670000000000005,0
SA,2016-07-12,Lower Photic,0.963,10,8.482000000000001,10,-7.519000000000001,0
SA,2016-07-12,Deep,0.3241666666666666,22,8.04651515151515,22,-7.722348484848483,0
SA,2016-08-09,Surface,0.792,10,8.651000000000002,10,-7.859000000000002,0
SA,2016-08-09,Mid-Depth,1.28,10,8.604999999999999,10,-7.324999999999998,0
SA,2016-08-09,Lower Photic,1.539,10,8.393,10,-6.854000000000001,0
SA,2016-08-09,Deep,0.6162121212121213,22,7.919469696969698,22,-7.303257575757577,0
SA,2016-09-06,Surface,0.497,10,9.91,10,-9.413,0
SA,2016-09-06,Mid-Depth,0.8400000000000001,10,9.873,10,-9.033,0
SA,2016-09-06,Lower Photic,0.844,10,9.693,10,-8.849,0
SA,2016-09-06,Deep,0.3584848484848484,22,9.183939393939394,22,-8.825454545454544,0
SA,2016-10-11,Surface,0.639,10,8.922,10,-8.283000000000001,0
SA,2016-10-11,Mid-Depth,1.5379999999999998,10,8.864999999999998,10,-7.326999999999998,0
SA,2016-10-11,Lower Photic,1.835,10,8.818999999999999,10,-6.983999999999999,0
SA,2016-10-11,Deep,0.5908143719339326,22,8.157704831629365,22,-7.566890459695433,0
SA,2016-11-08,Surface,1.47,10,9.003,10,-7.533,0
SA,2016-11-08,Mid-Depth,1.8040000000000005,10,8.992999999999999,10,-7.188999999999998,0
SA,2016-11-08,Lower Photic,2.2,10,8.881,10,-6.681,0
SA,2016-11-08,Deep,1.2381060606060603,22,8.39401515151515,22,-7.155909090909089,0
SA,2016-12-05,Surface,1.3119999999999998,10,8.446000000000002,10,-7.134000000000002,0
SA,2016-12-05,Mid-Depth,1.611,10,8.373000000000001,10,-6.762000000000001,0
SA,2016-12-05,Lower Photic,1.0710000000000002,10,8.267,10,-7.196,0
SA,2016-12-05,Deep,0.7399242424242426,22,8.110530303030302,22,-7.370606060606059,0
SA,2017-02-07,Surface,1.383,10,8.514000000000001,10,-7.131000000000001,0
SA,2017-02-07,Mid-Depth,1.5060000000000002,10,8.441999999999998,10,-6.935999999999998,0
SA,2017-02-07,Lower Photic,1.5100000000000002,10,8.409,10,-6.899000000000001,0
SA,2017-02-07,Deep,1.2718939393939397,22,8.398787878787878,22,-7.126893939393939,0
SA,2017-03-13,Surface,1.843,10,8.084,10,-6.241,0
SA,2017-03-13,Mid-Depth,1.626,10,8.088,10,-6.462,0
SA,2017-03-13,Lower Photic,1.225,10,8.056999999999999,10,-6.831999999999999,0
SA,2017-03-13,Deep,0.6609090909090909,22,7.98090909090909,22,-7.3199999999999985,0
SA,2017-04-18,Surface,0.859,10,8.206999999999999,10,-7.347999999999999,0
SA,2017-04-18,Mid-Depth,1.117,10,8.247,10,-7.13,0
SA,2017-04-18,Lower Photic,0.961,10,8.186,10,-7.225,0
SA,2017-04-18,Deep,0.5663636363636363,22,7.957348484848485,22,-7.390984848484848,0
SA,2017-05-16,Surface,0.729,10,8.174,10,-7.444999999999999,0
SA,2017-05-16,Mid-Depth,0.902,10,8.114,10,-7.212000000000001,0
SA,2017-05-16,Lower Photic,0.639,10,7.939,10,-7.3,0
SA,2017-05-16,Deep,0.3054545454545455,22,7.767803030303028,22,-7.462348484848483,0
SA,2017-06-13,Surface,1.3770000000000002,10,9.528000000000002,10,-8.151000000000002,0
SA,2017-06-13,Mid-Depth,1.495,10,9.452,10,-7.957,0
SA,2017-06-13,Lower Photic,0.8219999999999998,10,9.192,10,-8.370000000000001,0
SA,2017-06-13,Deep,0.3203787878787879,22,9.026818181818182,22,-8.706439393939394,0
SA,2017-07-11,Surface,0.777,10,8.205000000000002,10,-7.428000000000002,0
SA,2017-07-11,Mid-Depth,1.039,10,8.149999999999999,10,-7.110999999999999,0
SA,2017-07-11,Lower Photic,1.06,10,7.948,10,-6.888,0
SA,2017-07-11,Deep,0.2907575757575757,22,7.730151515151514,22,-7.439393939393938,0
SA,2017-08-08,Surface,1.068,10,9.098,10,-8.030000000000001,0
SA,2017-08-08,Mid-Depth,1.171,10,9.050999999999998,10,-7.879999999999998,0
SA,2017-08-08,Lower Photic,0.842,10,8.75,10,-7.908,0
SA,2017-08-08,Deep,0.2776515151515152,22,8.427121212121213,22,-8.149469696969698,0
SA,2017-09-12,Surface,1.312,10,10.341,10,-9.029,0
SA,2017-09-12,Mid-Depth,1.121,10,10.358,10,-9.237,0
SA,2017-09-12,Lower Photic,0.85,10,10.023,10,-9.173,0
SA,2017-09-12,Deep,0.2089393939393939,22,9.413030303030302,22,-9.204090909090908,0
SA,2017-10-12,Surface,0.596,10,9.143,10,-8.547,0
SA,2017-10-12,Mid-Depth,1.18,10,9.157,10,-7.977,0
SA,2017-10-12,Lower Photic,1.504,10,9.042,10,-7.538,0
SA,2017-10-12,Deep,0.4075757575757575,22,8.085833333333333,22,-7.678257575757576,0
SA,2017-11-07,Surface,1.135,10,8.918,10,-7.7829999999999995,0
SA,2017-11-07,Mid-Depth,1.99,10,8.849,10,-6.859,0
SA,2017-11-07,Lower Photic,1.956,10,8.600999999999999,10,-6.645,0
SA,2017-11-07,Deep,0.7192424242424242,22,7.86181818181818,22,-7.142575757575756,0
SA,2017-12-13,Surface,1.9070000000000005,10,8.52,10,-6.6129999999999995,0
SA,2017-12-13,Mid-Depth,2.338,10,8.547,10,-6.2090000000000005,0
SA,2017-12-13,Lower Photic,2.466,10,8.495000000000001,10,-6.029000000000001,0
SA,2017-12-13,Deep,2.337045454545456,22,8.367121212121212,22,-6.030075757575756,0
SA,2018-01-11,Surface,8.752287026428798,10,9.370496045700428,10,-0.6182090192716299,0
SA,2018-01-11,Mid-Depth,6.28692750696432,10,9.318117706603932,10,-3.031190199639612,0
SA,2018-01-11,Lower Photic,5.654546299790479,10,9.288681834139968,10,-3.6341355343494888,0
SA,2018-01-11,Deep,5.85072548993748,22,9.220462929248448,22,-3.3697374393109687,0
SA,2018-02-07,Surface,7.878703237897696,10,8.891050279925881,10,-1.0123470420281855,0
SA,2018-02-07,Mid-Depth,4.271905410142258,10,8.794570680776163,10,-4.5226652706339046,0
SA,2018-02-07,Lower Photic,3.624603581135217,10,8.808821776085846,10,-5.184218194950629,0
SA,2018-02-07,Deep,2.909738618579068,22,8.719200621442546,22,-5.809462002863478,0
SA,2018-03-13,Surface,7.261936698745066,10,8.921379204217654,10,-1.6594425054725885,0
SA,2018-03-13,Mid-Depth,8.920386000528863,10,8.779500108991439,10,0.14088589153742426,0
SA,2018-03-13,Lower Photic,9.448971286538251,10,8.659646438533736,10,0.7893248480045152,0
SA,2018-03-13,Deep,6.556422660535953,22,8.398874439808028,22,-1.842451779272075,0
SA,2018-04-10,Surface,2.877489439674273,10,8.775691837871722,10,-5.89820239819745,0
SA,2018-04-10,Mid-Depth,2.419978705185602,10,8.640576691963883,10,-6.220597986778281,0
SA,2018-04-10,Lower Photic,1.9795940739743507,10,8.298800437755183,10,-6.3192063637808324,0
SA,2018-04-10,Deep,0.6943583432047271,22,8.112837313427859,22,-7.4184789702231315,0
SA,2018-05-15,Surface,1.9890922544297167,10,8.840345333333152,10,-6.851253078903436,0
SA,2018-05-15,Mid-Depth,2.5738895369815613,10,8.517717463335956,10,-5.943827926354395,0
SA,2018-05-15,Lower Photic,1.2544293160524185,10,8.002166700168837,10,-6.747737384116419,0
SA,2018-05-15,Deep,0.7334180042350227,22,7.936285110960304,22,-7.202867106725281,0
SA,2018-06-12,Surface,2.328827108896434,10,8.91840521577439,10,-6.589578106877957,0
SA,2018-06-12,Mid-Depth,1.9928486213723555,10,8.852357987897685,10,-6.859509366525329,0
SA,2018-06-12,Lower Photic,1.1723648633948294,10,8.225453284911206,10,-7.053088421516376,0
SA,2018-06-12,Deep,0.6274383974911077,22,7.945360313298534,22,-7.3179219158074265,0
SA,2018-07-17,Surface,2.513865501,10,8.880654588999999,10,-6.366789087999999,0
SA,2018-07-17,Mid-Depth,2.947426491,10,8.863271948,10,-5.915845457,0
SA,2018-07-17,Lower Photic,5.012698192999999,10,8.759926899,10,-3.7472287060000005,0
SA,2018-07-17,Deep,1.1983978314335724,22,7.9965853439214705,22,-6.798187512487898,0
SA,2018-08-14,Surface,1.5292082565553833,10,8.92038111455692,10,-7.391172858001536,0
SA,2018-08-14,Mid-Depth,2.125499455049102,10,8.844966254815592,10,-6.71946679976649,0
SA,2018-08-14,Lower Photic,1.90585239885023,10,8.608454635697694,10,-6.702602236847463,0
SA,2018-08-14,Deep,0.8389446794611625,22,8.049588217364281,22,-7.210643537903119,0
SA,2018-09-11,Surface,2.15439224240905,10,8.838192569059117,10,-6.683800326650068,0
SA,2018-09-11,Mid-Depth,2.68106496836621,10,8.688811521561863,10,-6.007746553195654,0
SA,2018-09-11,Lower Photic,1.9045275989657129,10,8.185289126242427,10,-6.280761527276715,0
SA,2018-09-11,Deep,0.913369319461593,22,7.821106937115162,22,-6.907737617653568,0
SA,2018-09-24,Surface,1.949981528948277,10,9.02141289103906,10,-7.071431362090783,0
SA,2018-09-24,Mid-Depth,1.364167616595907,10,8.919309991820452,10,-7.555142375224545,0
SA,2018-09-24,Lower Photic,0.9607974684821118,10,8.304270154516896,10,-7.343472686034784,0
SA,2018-09-24,Deep,0.5628220465129435,22,7.766714092746718,22,-7.203892046233775,0
SA,2018-11-14,Surface,2.714807095129829,10,8.852648259627511,10,-6.137841164497682,0
SA,2018-11-14,Mid-Depth,3.2430496042905235,10,8.790706804300843,10,-5.5476572000103195,0
SA,2018-11-14,Lower Photic,2.6108436754580127,10,8.725811512873936,10,-6.114967837415923,0
SA,2018-11-14,Deep,0.9615655589530828,22,7.912838746289986,22,-6.951273187336903,0
SA,2018-12-12,Surface,1.810013346883298,10,8.676075215531942,10,-6.866061868648644,0
SA,2018-12-12,Mid-Depth,2.122052677596734,10,8.615440249407254,10,-6.493387571810519,0
SA,2018-12-12,Lower Photic,2.115221570587407,10,8.599289191534112,10,-6.484067620946705,0
SA,2018-12-12,Deep,1.5290469791579684,22,8.46777111563057,22,-6.938724136472603,0
SA,2019-02-12,Surface,5.687332725419779,10,8.497697246313018,10,-2.8103645208932395,0
SA,2019-02-12,Mid-Depth,3.41828417426224,10,8.339603536175858,10,-4.921319361913618,0
SA,2019-02-12,Lower Photic,3.250231343030658,10,8.242238519389108,10,-4.992007176358451,0
SA,2019-02-12,Deep,4.25795722831614,22,8.186175639011905,22,-3.9282184106957647,0
SA,2019-03-12,Surface,7.814047928189458,10,8.708772872139386,10,-0.8947249439499281,0
SA,2019-03-12,Mid-Depth,3.103211173818074,10,8.593959602557291,10,-5.4907484287392165,0
SA,2019-03-12,Lower Photic,3.396465523702181,10,8.269856682906076,10,-4.873391159203894,0
SA,2019-03-12,Deep,1.2296696738526092,22,8.073915780625926,22,-6.844246106773317,0
SA,2019-04-09,Surface,3.3418016170557943,10,8.75340654469063,10,-5.411604927634836,0
SA,2019-04-09,Mid-Depth,2.568784146999403,10,8.392549714649395,10,-5.823765567649992,0
SA,2019-04-09,Lower Photic,2.192880137513177,10,8.065357496298699,10,-5.872477358785522,0
SA,2019-04-09,Deep,1.171822021140384,22,7.619377198728706,22,-6.447555177588321,0
SA,2019-05-14,Surface,1.760399615041472,10,8.716161317920578,10,-6.955761702879107,0
SA,2019-05-14,Mid-Depth,1.527548072213902,10,8.62755968920068,10,-7.100011616986778,0
SA,2019-05-14,Lower Photic,0.7987877327958229,10,8.110585970494906,10,-7.311798237699083,0
SA,2019-05-14,Deep,0.5516138286157649,22,7.821089163971652,22,-7.269475335355887,0
SA,2019-06-12,Surface,1.336600741557334,10,8.811402970470397,10,-7.474802228913063,0
SA,2019-06-12,Mid-Depth,1.5918136835032333,10,8.655031155333129,10,-7.063217471829896,0
SA,2019-06-12,Lower Photic,0.901733854831698,10,8.019252729276438,10,-7.11751887444474,0
SA,2019-06-12,Deep,0.571227630306109,22,7.746593821711352,22,-7.175366191405243,0
SA,2019-07-12,Surface,2.348391235403748,10,8.783167602581928,10,-6.434776367178181,0
SA,2019-07-12,Mid-Depth,2.044121051714108,10,8.52246658168685,10,-6.478345529972741,0
SA,2019-07-12,Lower Photic,1.351413540580777,10,7.976717050978488,10,-6.6253035103977105,0
SA,2019-07-12,Deep,0.6365003158442072,22,7.503307276393602,22,-6.866806960549394,0
SA,2019-08-13,Surface,1.3008741274172562,10,8.807352946033737,10,-7.506478818616481,0
SA,2019-08-13,Mid-Depth,1.7216089930632752,10,8.372629711910635,10,-6.65102071884736,0
SA,2019-08-13,Lower Photic,1.559891191256447,10,7.8774683659772124,10,-6.317577174720766,0
SA,2019-08-13,Deep,0.6547868611378724,22,7.1446744764502,22,-6.489887615312328,0
SA,2019-09-10,Surface,1.7070135208590158,10,8.903791597257257,10,-7.196778076398241,0
SA,2019-09-10,Mid-Depth,7.41476237350075,10,8.817169345994515,10,-1.4024069724937647,0
SA,2019-09-10,Lower Photic,3.4927395543334647,10,8.507401135709161,10,-5.014661581375696,0
SA,2019-09-10,Deep,0.882943111092785,22,7.7957832785920145,22,-6.91284016749923,0
SA,2020-02-11,Surface,6.817775079328735,10,8.71440303178033,10,-1.8966279524515954,0
SA,2020-02-11,Mid-Depth,7.55487497263901,10,8.52407397771357,10,-0.96919900507456,0
SA,2020-02-11,Lower Photic,8.09222813634279,10,8.327680282359578,10,-0.23545214601678843,0
SA,2020-02-11,Deep,4.394187553268791,22,8.079211865088844,22,-3.6850243118200527,0
SA,2020-05-12,Surface,2.074522138005202,10,8.711675063940195,10,-6.637152925934993,0
SA,2020-05-12,Mid-Depth,3.101882836301979,10,8.383974347302678,10,-5.282091511000699,0
SA,2020-05-12,Lower Photic,1.601384045821887,10,7.7724100204737,10,-6.171025974651813,0
SA,2020-05-12,Deep,0.7923798939287732,22,7.300672442745069,22,-6.5082925488162955,0
SA,2020-06-09,Surface,2.768513302142617,10,8.626713764802945,10,-5.858200462660328,0
SA,2020-06-09,Mid-Depth,4.199933338571873,10,8.21346056101726,10,-4.013527222445387,0
SA,2020-06-09,Lower Photic,2.6050905649092817,10,7.700576955467073,10,-5.095486390557792,0
SA,2020-06-09,Deep,0.7501230646839715,22,7.154176085024995,22,-6.404053020341023,0
SA,2020-07-14,Surface,3.360208299000825,10,8.605098355901228,10,-5.244890056900403,0
SA,2020-07-14,Mid-Depth,3.603102310693687,10,7.866086690034807,10,-4.26298437934112,0
SA,2020-07-14,Lower Photic,1.847180620793872,10,7.164699306723898,10,-5.317518685930026,0
SA,2020-07-14,Deep,0.7381805244747085,22,6.4797759669039285,22,-5.74159544242922,0
SA,2020-08-11,Surface,1.674829307558095,10,8.69748709451255,10,-7.022657786954454,0
SA,2020-08-11,Mid-Depth,1.808171173661892,10,8.347161507270508,10,-6.538990333608616,0
SA,2020-08-11,Lower Photic,1.545355992271591,10,7.748027104810413,10,-6.202671112538822,0
SA,2020-08-11,Deep,0.7064158537538755,22,6.981227903224448,22,-6.274812049470572,0
SA,2020-09-08,Surface,1.482193203806359,10,8.616837644628717,10,-7.134644440822358,0
SA,2020-09-08,Mid-Depth,1.5365379643078168,10,8.427501418435755,10,-6.890963454127938,0
SA,2020-09-08,Lower Photic,0.9193694084167124,10,7.952292236419207,10,-7.032922828002494,0
SA,2020-09-08,Deep,0.5553959604987919,22,7.178490029670394,22,-6.623094069171602,0
SA,2020-10-13,Surface,1.362731184728692,10,8.632666991678317,10,-7.269935806949625,0
SA,2020-10-13,Mid-Depth,2.607952943381316,10,7.966294387019092,10,-5.3583414436377765,0
SA,2020-10-13,Lower Photic,1.7623666314882371,10,7.606617912186901,10,-5.844251280698664,0
SA,2020-10-13,Deep,0.6594332020494404,22,6.755970982421244,22,-6.096537780371804,0
SA,2020-11-10,Surface,9.514661014562336,10,8.45665415137645,10,1.058006863185886,0
SA,2020-11-10,Mid-Depth,5.791107587921809,10,7.990055198842688,10,-2.1989476109208788,0
SA,2020-11-10,Lower Photic,4.302832840833316,10,7.743321887740012,10,-3.4404890469066958,0
SA,2020-11-10,Deep,3.1408650647999816,22,6.997399778976487,22,-3.856534714176505,0
SA,2020-12-08,Surface,2.346159692855997,10,8.14912562335805,10,-5.802965930502053,0
SA,2020-12-08,Mid-Depth,2.399402710430792,10,7.968435266145919,10,-5.569032555715127,0
SA,2020-12-08,Lower Photic,2.510686707117799,10,7.882296218648578,10,-5.371609511530778,0
SA,2020-12-08,Deep,1.7375478275409242,22,7.611545059139501,22,-5.873997231598577,0
SA,2021-01-19,Surface,2.6840776073798533,10,8.10216182166771,10,-5.418084214287857,0
SA,2021-01-19,Mid-Depth,3.777258195061256,10,7.939919003233223,10,-4.162660808171967,0
SA,2021-01-19,Lower Photic,3.81723443849071,10,7.790979522307735,10,-3.973745083817025,0
SA,2021-01-19,Deep,3.8107329062011335,22,7.601533319941902,22,-3.7908004137407687,0
SA,2021-02-16,Surface,3.379432068765972,10,8.412557159105255,10,-5.033125090339283,0
SA,2021-02-16,Mid-Depth,3.86528773116857,10,8.152206463081082,10,-4.286918731912513,0
SA,2021-02-16,Lower Photic,2.582290988017096,10,7.991451356988105,10,-5.409160368971009,0
SA,2021-02-16,Deep,1.6826779479707938,22,7.813735599496027,22,-6.131057651525234,0
SA,2021-03-16,Surface,3.135489515498881,10,8.617984164464692,10,-5.482494648965812,0
SA,2021-03-16,Mid-Depth,2.244651224234037,10,8.41657826594078,10,-6.171927041706743,0
SA,2021-03-16,Lower Photic,1.611949442733979,10,7.97985216959203,10,-6.367902726858051,0
SA,2021-03-16,Deep,1.1490912106638291,22,7.800332578414722,22,-6.6512413677508935,0
SA,2021-04-13,Surface,3.14644322644776,10,8.617276117968466,10,-5.470832891520706,0
SA,2021-04-13,Mid-Depth,3.1682203028508065,10,8.490408154093284,10,-5.322187851242478,0
SA,2021-04-13,Lower Photic,2.009615692161278,10,8.339260539791429,10,-6.329644847630151,0
SA,2021-04-13,Deep,1.4736409840268263,22,8.01813157031061,22,-6.544490586283784,0
SA,2021-05-11,Surface,1.4306587364361367,10,9.196334671022356,10,-7.76567593458622,0
SA,2021-05-11,Mid-Depth,2.838991367649506,10,8.686566864979387,10,-5.847575497329881,0
SA,2021-05-11,Lower Photic,1.242262779172972,10,8.227443168228294,10,-6.985180389055323,0
SA,2021-05-11,Deep,0.8553736424131034,22,8.044658000041581,22,-7.189284357628478,0
